,teams_x,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,score,teams_y,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm
0, Alexandria Csikszereda,5.40,4.30,1.50,2.30,2.5,1.55,Almere City Roda,53,Almere City Roda,2.50,3.45,2.70,2.07,2.5,1.69
1,R Aldosivi (R) Tigre (R),2.75,3.25,2.40,1.78,2.5,1.92,Tigre Aldosivi,82,Tigre Aldosivi,1.45,4.40,7.00,1.84,2.5,1.94
2, Barracas Central Gimnasia LP,2.80,3.10,2.65,1.60,2.5,2.20,Caracas Deportivo La Guaira,58,Caracas Deportivo La Guaira,2.22,3.05,3.45,1.59,2.5,2.25
3, Viitorul Targu Jiu Dinamo Buc.,3.25,3.10,2.20,1.70,2.5,2.02,Viktoria Berlin BFC Dynamo,51,Viktoria Berlin BFC Dynamo,2.88,3.45,2.20,2.12,2.5,1.63
4, Viitorul Targu Jiu Dinamo Buc.,3.25,3.10,2.20,1.70,2.5,2.02,Viktoria Berlin BFC Dynamo,51,Viktoria Berlin BFC Dynamo,2.88,3.45,2.20,2.12,2.5,1.63
5, Cobreloa Magallanes,2.00,3.25,3.85,1.55,2.5,2.28,Gualaceo U. Catolica,53,Gualaceo U. Catolica,3.95,3.40,1.91,1.83,2.5,1.89
6, 3 de Febrero Sportivo Iteno,1.50,3.80,5.65,1.80,2.5,1.90,Sol de America Cerro Porteno,51,Sol de America Cerro Porteno,4.20,3.25,1.91,1.64,2.5,2.12
7, Atletico Morelia Tepatitlan,1.67,3.45,5.15,1.70,2.5,2.03,FC Martigues Paris 13 Atletico,56,FC Martigues Paris 13 Atletico,2.03,3.20,3.80,1.63,2.5,2.15
8, Atletico Morelia Tepatitlan,1.67,3.45,5.15,1.70,2.5,2.03,FC Martigues Paris 13 Atletico,56,FC Martigues Paris 13 Atletico,2.03,3.20,3.80,1.63,2.5,2.15
9, America Quito Imbabura,2.40,2.80,3.00,1.50,2.5,2.40,Union La Calera Coquimbo,57,Union La Calera Coquimbo,1.87,3.30,4.30,1.67,2.5,2.08
10,-Z Everton W Leicester W,1.45,4.25,6.50,2.12,2.5,1.65,Zwolle W Fortuna Sittard W,53,Zwolle W Fortuna Sittard W,2.70,3.55,2.28,2.45,2.5,1.48
11,-Z Everton W Leicester W,1.45,4.25,6.50,2.12,2.5,1.65,Zwolle W Fortuna Sittard W,53,Zwolle W Fortuna Sittard W,2.70,3.55,2.28,2.45,2.5,1.48
12, Atletico Grau Sport Boys As.,1.55,3.90,5.65,1.85,2.5,1.85,FC Martigues Paris 13 Atletico,56,FC Martigues Paris 13 Atletico,2.03,3.20,3.80,1.63,2.5,2.15
13, Atletico Grau Sport Boys As.,1.55,3.90,5.65,1.85,2.5,1.85,FC Martigues Paris 13 Atletico,56,FC Martigues Paris 13 Atletico,2.03,3.20,3.80,1.63,2.5,2.15
14, Sporting Cristal AD Tarma,1.25,5.65,9.30,2.95,2.5,1.35,Sporting Gil Vicente,58,Sporting Gil Vicente,1.32,5.25,11.00,2.28,2.5,1.63
15, Barracas Central Gimnasia LP,2.80,3.10,2.65,1.60,2.5,2.20,Caracas Deportivo La Guaira,58,Caracas Deportivo La Guaira,2.22,3.05,3.45,1.59,2.5,2.25
16, Viitorul Targu Jiu Dinamo Buc.,3.25,3.10,2.20,1.70,2.5,2.02,Viktoria Berlin BFC Dynamo,51,Viktoria Berlin BFC Dynamo,2.88,3.45,2.20,2.12,2.5,1.63
17, Viitorul Targu Jiu Dinamo Buc.,3.25,3.10,2.20,1.70,2.5,2.02,Viktoria Berlin BFC Dynamo,51,Viktoria Berlin BFC Dynamo,2.88,3.45,2.20,2.12,2.5,1.63
18, Cobreloa Magallanes,2.00,3.25,3.85,1.55,2.5,2.28,Gualaceo U. Catolica,53,Gualaceo U. Catolica,3.95,3.40,1.91,1.83,2.5,1.89
