,teams,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm
0,Aldosivi 2 CA Tigre 2,2.75,3.05,2.50,1.77,2.5,1.94
1,Almirante Brown 2 Csyd Tristan Suarez 2,2.28,3.00,3.20,1.64,2.5,2.12
2,Atletico Tucuman 2 Patronato 2,2.45,3.60,2.50,2.02,2.5,1.71
3,Colon 2 Estudiantes 2,2.35,3.05,2.95,1.56,2.5,2.25
4,Macva Sabac Crvena zvezda,45.00,13.00,1.05,3.60,2.5,1.25
5,Maritsa Plovdiv Montana,2.55,3.00,2.60,1.67,2.5,2.05
6,Menemen Belediye Spor Bigaspor,1.95,3.85,3.35,2.38,2.5,1.52
7,Fakel Voronezh Krylya Sovetov Samara,3.30,3.15,2.22,1.73,2.5,2.02
8,AC Paradou U21 Us Khenchela U21,1.40,4.40,6.70,2.25,2.5,1.58
9,Hapoel Kfar Shalem Hapoel Bikat Hayarden,1.67,3.50,4.85,1.74,2.5,1.97
10,Fin SB,Honka,HJK Helsinki,3+1,3.02,3.05,2.81
11,Honka HJK Helsinki,2.85,3.00,2.65,1.54,2.5,2.45
12,RC Arba U21 MC El Bayadh U21,2.35,3.15,2.75,1.94,2.5,1.75
13,Sahab Shabab Al Ordon,2.38,2.95,3.05,1.59,2.5,2.20
14,US Biskra U21 NC Magra U21,2.12,3.10,3.10,1.94,2.5,1.75
15,Concordia Chiajna U. Cluj,3.80,2.95,2.05,1.44,2.5,2.60
16,Rum SB,Concordia Chiajna,U. Cluj,3+1,3.95,2.99,2.21
17,ASEC Mimosas SO Armee,1.44,4.55,5.75,2.60,2.5,1.44
18,Es Setif U21 CS Constantine U21,2.85,3.25,2.20,1.89,2.5,1.79
19,Ahi Acre Hapoel Ironi Sefad,2.15,3.30,3.10,1.87,2.5,1.83
20,Eskisehirspor Mus 1984 Musspor,3.10,3.35,2.22,1.79,2.5,1.93
21,Hobro Fremad Amager,2.30,3.20,3.10,1.86,2.5,1.85
22,Dan SB,Hobro,Fremad Amager,3+1,2.47,3.25,3.26
23,Kvarnsveden Korsnas IF FK,2.25,3.50,2.80,2.35,2.5,1.52
24,Bayern Munich W Real Sociedad W,1.19,6.10,13.00,2.50,2.5,1.47
25,Arda Kurdzhali Hebar Pazardzhik,1.45,3.95,7.75,1.68,2.5,2.07
26,AC Hamachtesh Givataim Hapoel Mahane Yehuda,3.05,3.20,2.22,1.80,2.5,1.90
27,Everton W Leicester City W,1.42,4.40,6.25,2.22,2.5,1.58
28,Maan Al Jazeera Club Amman,4.60,3.55,1.69,1.85,2.5,1.85
29,Spartak M. Zenit Petersburg,4.70,3.85,1.68,2.12,2.5,1.66
30,Bonsucesso RJ FC Rio de Janeiro RJ,5.20,3.90,1.56,2.05,2.5,1.69
31,Carpebus Campos AA Barra Mansa,5.20,3.95,1.55,2.12,2.5,1.64
32,EC Tigres Do Brasil RJ SE Buzios RJ,3.25,3.10,2.18,1.64,2.5,2.12
33,Goytacaz FC RJ AA Carapebus RJ,1.70,3.45,4.75,1.69,2.5,2.04
34,Grau Sport Boys Association,1.56,3.95,5.80,1.83,2.5,1.89
35,SE Belford Roxo RJ CA Barra Da Tijuca RJ,2.88,3.15,2.35,1.75,2.5,1.96
36,Sporting Cristal Asociacion Deportiva Tarma,1.25,6.00,9.75,3.20,2.5,1.31
37,Barracas Central Gimnasia L.P.,2.75,3.05,2.80,1.56,2.5,2.38
38,Viitorul Tg. Jiu Dinamo Bucuresti,2.95,3.10,2.30,1.72,2.5,1.99
39,Rum SB,Viitorul Tg. Jiu,Dinamo Bucuresti,3+1,3.10,3.15,2.44
40,Cobreloa Deportes Magallanes,2.15,2.95,3.60,1.52,2.5,2.38
41,FBC Melgar Binacional,1.30,4.80,11.00,1.73,2.5,2.00
42,Lobos ULMX Gavilanes de Matamoros,2.50,3.35,2.55,1.98,2.5,1.73
43,Montaneses FC CF Pachuca II,3.80,3.90,1.75,2.65,2.5,1.42
44,Yalmakan Cafetaleros de Chiapas,3.20,3.55,2.02,2.05,2.5,1.68
45,3 de Febrero Sportivo Iteno,1.54,3.90,5.45,1.93,2.5,1.77
46,Catedraticos Elite FC Reboceros De La Piedad,6.25,4.60,1.40,2.15,2.5,1.62
47,Atletico Morelia Tepatitlan de Morelos,1.66,3.60,5.30,1.72,2.5,2.02
48,Tombense Novorizontino,2.90,2.80,2.70,1.39,2.5,2.80
49,Bra SB,Tombense,Novorizontino,3+1,3.07,2.84,2.84
50,Carlos Renaux SC Nacao,1.46,4.05,6.30,1.80,2.5,1.91
51,AD Santos Zeledon,2.18,3.55,3.00,2.22,2.5,1.59
52,Petrolina Decisao,1.53,3.55,6.50,1.57,2.5,2.25
53,America De Quito Imbabura Sporting Club,2.38,2.95,3.05,1.48,2.5,2.45
54,Tapatio Venados,2.35,3.05,3.15,1.61,2.5,2.20
55,Vasco da Gama Londrina,1.67,3.20,6.30,1.42,2.5,2.70
56,Bra SB,Vasco da Gama,Londrina,3+1,1.77,3.25,6.55
57,Santa Fe Atletico Nacional,2.70,3.20,2.60,1.72,2.5,2.02
58,Sporting San Jose San Carlos,2.28,3.40,2.95,1.99,2.5,1.74
59,Atletico La Paz Alebrijes De Oaxaca,2.60,3.00,2.85,1.56,2.5,2.30
