,teams,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc
0,R Aldosivi (R) Tigre (R),2.75,3.25,2.40,1.78,2.5,1.92
1,R Colon (R) Estudiantes (R),2.20,3.15,3.20,1.62,2.5,2.15
2, Maritsa Plovdiv Montana,2.55,3.15,2.65,1.70,2.5,2.05
3, Macva Crvena zvezda,39.00,12.10,1.05,4.15,2.5,1.25
4, Fakel Krylia Sovetov,3.40,3.20,2.20,1.70,2.5,2.03
5, Honka HJK Helsinki,2.80,3.15,2.60,1.58,2.5,2.25
6, H.Kfar Shalem H.Bikat Hayarden,1.65,3.45,4.75,1.75,2.5,1.95
7, Sahab Shabab Al Ordun,2.35,2.95,2.90,1.60,2.5,2.20
8, Concordia Chiajna Uni. Cluj,3.75,3.05,2.05,1.50,2.5,2.40
9,1 ASEC Mimosas SO Armee,1.42,4.40,5.60,2.85,2.5,1.37
10, Hobro Fremad Amager,2.25,3.25,2.95,1.90,2.5,1.80
11,-Z Bayern M. W Real Sociedad W,1.20,5.60,13.20,2.42,2.5,1.50
12,SS Kvarnsvedens IK Korsnas IF,2.15,3.65,2.90,2.30,2.5,1.55
13, Eskisehir Mus,3.05,3.20,2.15,1.82,2.5,1.88
14, Arda Kurdzhali Hebar Pazardzhik,1.48,3.80,6.65,1.70,2.5,2.02
15,-Z Everton W Leicester W,1.45,4.25,6.50,2.12,2.5,1.65
16, Maan Al Jazeera J.,4.15,3.70,1.75,1.90,2.5,1.80
17, Spartak M. Zenit,4.40,4.05,1.70,2.15,2.5,1.65
18, Atletico Grau Sport Boys As.,1.55,3.90,5.65,1.85,2.5,1.85
19, Sporting Cristal AD Tarma,1.25,5.65,9.30,2.95,2.5,1.35
20,R Aldosivi (R) Tigre (R),2.75,3.25,2.40,1.78,2.5,1.92
21,R Colon (R) Estudiantes (R),2.20,3.15,3.20,1.62,2.5,2.15
22, Maritsa Plovdiv Montana,2.55,3.15,2.65,1.70,2.5,2.05
23, FBC Melgar Dep.Binacional,1.30,4.50,10.80,1.72,2.5,2.00
24, 3 de Febrero Sportivo Iteno,1.50,3.80,5.65,1.80,2.5,1.90
25, Tombense Novorizontino,2.90,2.70,2.70,1.40,2.5,2.70
26, Atletico Morelia Tepatitlan,1.67,3.45,5.15,1.70,2.5,2.03
27, Santos DG Perez Zeledon,2.10,3.55,3.10,2.12,2.5,1.65
28, America Quito Imbabura,2.40,2.80,3.00,1.50,2.5,2.40
29, Tapatio Venados,2.30,2.95,3.15,1.55,2.5,2.30
30, Vasco da Gama Londrina,1.65,3.15,6.40,1.45,2.5,2.55
31, Ind. Santa Fe Atl. Nacional,2.75,3.20,2.60,1.63,2.5,2.15
32, Sporting San Jose AD San Carlos,2.20,3.55,2.85,2.05,2.5,1.68
33, Atletico La Paz Alebrijes Oaxaca,2.55,3.00,2.75,1.57,2.5,2.25
34, Changchun Yatai Shenzhen,1.50,4.20,6.60,2.00,2.5,1.72
35, Barracas Central Gimnasia LP,2.80,3.10,2.65,1.60,2.5,2.20
36, Viitorul Targu Jiu Dinamo Buc.,3.25,3.10,2.20,1.70,2.5,2.02
37, Cobreloa Magallanes,2.00,3.25,3.85,1.55,2.5,2.28
38, FBC Melgar Dep.Binacional,1.30,4.50,10.80,1.72,2.5,2.00
