,Unnamed: 0_x,teams_x,1_adm,X_adm,2_adm,goals_adm,under_adm,over_adm,teams_matched,score,Unnamed: 0_y,teams_y,1_star,X_star,2_star,goals_star,under_star,over_star
0,0,West Ham Wolves,2.35,2.95,3.9,2.5,1.37,3.25,West Ham Utd  Wolverhampton,68,1,West Ham Utd  Wolverhampton,2.25,2.95,3.75,2.5,1.32,3.25
1,1,Werder Bremen Borussia Monchengladbach,1.06,18.0,45.0,5.5,1.9,1.9,Werder Bremen  Monchengladbach,87,3,Werder Bremen  Monchengladbach,1.03,14.0,30.0,5.5,1.93,1.8
2,2,Sevilla Atletico Madrid,3.85,2.75,2.55,2.5,1.27,4.0,Sevilla  Atl. Madrid,88,7,Sevilla  Atl. Madrid,3.65,2.8,2.35,2.5,1.27,3.65
3,3,Inter Milan AS Roma,2.55,2.55,4.25,3.5,1.7,2.25,Inter  Roma,69,17,Inter  Roma,2.4,2.5,4.0,3.5,1.6,2.25
4,4,Groningen AZ Alkmaar,11.0,5.2,1.35,3.5,1.65,2.25,Groningen  AZ Alkmaar,100,0,Groningen  AZ Alkmaar,7.8,4.8,1.35,3.5,1.63,2.13
5,5,Westerlo Zulte Waregem,1.27,5.6,13.0,2.5,2.25,1.65,Westerlo  Zulte-Waregem,100,10,Westerlo  Zulte-Waregem,1.25,5.4,13.0,3.5,1.33,3.1
6,6,Oostende Genk,5.7,3.5,1.75,3.5,2.45,1.55,Oostende  Genk,100,9,Oostende  Genk,6.1,3.4,1.65,4.5,1.45,2.65
7,7,Basel St. Gallen,1.15,7.5,24.0,5.5,1.42,2.85,Basel  St. Gallen,100,27,Basel  St. Gallen,1.0,1.11,7.3,1.35,20.0,5.5
8,8,Boreham Maidstone United,1.9,3.1,4.85,3.5,2.2,1.6,Boreham Wood  Maidstone Utd,84,8,Boreham Wood  Maidstone Utd,1.9,2.9,4.4,4.5,1.3,2.95
9,10,Logrones Sabadell,1.05,13.5,60.0,3.5,1.57,2.25,Logrones  Sabadell,100,25,Logrones  Sabadell,1.03,11.5,36.0,3.5,1.5,2.3
10,14,Avellino Potenza Calcio,1.01,35.0,150.0,2.5,2.1,1.7,Avellino  Potenza Calcio,100,32,Avellino  Potenza Calcio,1.0,1.0,1.0,3.5,1.15,4.2
11,15,Turris Catanzaro,150.0,13.0,100.0,4.5,2.0,1.7,Turris  Catanzaro,100,36,Turris  Catanzaro,1.0,1.0,1.0,5.5,1.13,4.6
12,16,Taranto Foggia,1.25,4.8,18.0,1.5,2.3,1.57,Taranto  Foggia,100,35,Taranto  Foggia,0.0,1.2,4.6,1.18,16.5,2.5
13,17,AS Viterbese Castrense Latina,150.0,13.5,100.0,4.5,2.1,1.65,Viterbese Castrense  Latina,95,38,Viterbese Castrense  Latina,1.0,1.0,1.0,5.5,1.15,4.15
14,18,Virtus Francavilla Calcio Fidelis Andria,2.85,1.75,6.5,2.5,1.95,1.8,Virtus Francavilla  Fidelis Andria,90,37,Virtus Francavilla  Fidelis Andria,3.05,1.75,5.4,3.5,1.1,5.2
15,23,Rizespor Bodrumspor,2.65,2.45,3.6,1.5,1.65,2.2,Rizespor  Bodrumspor,100,28,Rizespor  Bodrumspor,2.5,2.4,3.5,1.5,1.55,2.15
16,24,Altay Eyupsor,6.0,2.45,2.05,1.5,1.47,2.6,Altay  Eyüpspor,92,29,Altay  Eyüpspor,6.3,2.25,2.03,1.5,1.33,2.8
17,28,Platense Defensa y Justicia,3.2,2.1,3.8,1.5,1.37,3.05,Platense  Defensa y Justicia,100,13,Platense  Defensa y Justicia,3.0,2.12,3.65,1.5,1.3,3.1
18,29,Central Cordoba Sarmiento Junin,3.0,2.25,3.75,1.5,1.45,2.7,Central Córdoba  Sarmiento,87,12,Central Córdoba  Sarmiento,2.9,2.15,3.65,1.5,1.35,2.9
19,34,MS Ironi Ashdod Hapoel Hadera,4.0,2.45,2.5,3.5,100.0,10.5,Ashdod  Hapoel Hadera,82,11,Ashdod  Hapoel Hadera,0.0,3.8,2.35,1.5,2.45,1.5
20,35,Apollon Limassol Paphos,7.0,3.55,1.57,2.5,1.65,2.2,Apollon Limassol  Paphos,100,14,Apollon Limassol  Paphos,7.0,3.55,1.5,2.5,1.5,2.3
21,43,Valerenga Stromsgodset,100.0,29.0,300.0,6.5,1.47,2.55,Valerenga  Stromsgodset,100,18,Valerenga  Stromsgodset,1.0,1.0,1.0,6.5,1.45,2.55
22,44,Lillestrom Bodo Glimt,3.25,2.8,2.65,3.5,1.8,1.95,Lillestrom  Bodo/Glimt,100,19,Lillestrom  Bodo/Glimt,3.15,2.55,2.6,4.5,1.2,4.1
23,45,Lech Poznan Legia Warsaw,2.6,1.95,6.25,0.5,2.2,1.6,Lech P.  Legia,67,39,Lech P.  Legia,2.55,1.95,5.7,1.5,1.2,4.05
24,46,Stal Rzeszow Resovia Rzeszow,2.65,2.2,4.2,5.5,1.37,2.85,Stal Rzeszow  Resovia Rzeszow,100,40,Stal Rzeszow  Resovia Rzeszow,2.75,2.05,4.05,5.5,1.25,3.2
25,49,Lokomotiv Moscow Ural Yekaterinburg,55.0,16.0,1.05,3.5,1.75,2.0,Lokomotiv M.  Ural,63,20,Lokomotiv M.  Ural,2.0,44.0,13.0,1.2,1.03,4.5
26,50,Zilina Trencin,2.4,2.7,3.65,1.5,1.9,1.85,Zilina  Trencin,100,21,Zilina  Trencin,2.35,2.65,3.45,2.5,1.2,3.75
27,51,L. Mikulas Dunajska Streda,34.0,7.25,1.12,2.5,1.65,2.15,Lipt. Mikulas  Dunajska Streda,94,22,Lipt. Mikulas  Dunajska Streda,1.0,24.0,7.2,1.52,1.09,2.5
28,52,Banska Bystrica Michalovce,1.37,4.25,11.0,2.5,1.65,2.15,Banská Bystrica  Michalovce,98,23,Banská Bystrica  Michalovce,1.33,4.2,10.0,2.5,1.52,2.3
29,53,Kosice Dubnica,1.1,7.25,28.0,3.5,1.35,2.85,Kosice  Dubnica,100,24,Kosice  Dubnica,1.08,7.5,20.0,3.5,1.27,3.1
