,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm,teams_matched2,score,Unnamed: 0,teams,1_max,X_max,2_max,under_max,goals_max,over_max
0,1.97,3.2,3.5,1.8,2.5,1.9,HNK Orijent 1919 Kustosija,2.0,3.25,3.55,1.8,2.5,1.91,Orijent  Kustosija,79,122,Orijent  Kustosija,2.15,2.85,3.1,1.73,2.5,1.90
1,2.15,3.35,3.1,1.77,2.5,1.93,Lanus 2 Talleres 2,2.2,3.3,3.0,1.79,2.5,1.91,Talleres RE  Acassuso,63,36,Talleres RE  Acassuso,2.65,2.90,2.75,1.45,2.5,2.45
2,1.37,4.55,8.6,1.85,2.5,1.85,Cherno More Botev Vratsa,1.4,4.4,7.9,1.85,2.5,1.86,Cherno More  Botev V.,88,95,Cherno More  Botev V.,1.42,4.10,7.3,1.85,2.5,1.85
3,2.0,3.4,3.45,1.95,2.5,1.75,Dukla Prague Jihlava,2.05,3.25,3.4,1.82,2.5,1.88,Dukla P.  Jihlava,86,127,Dukla P.  Jihlava,2.0,3.10,3.4,1.78,2.5,1.85
4,1.97,3.2,3.5,1.8,2.5,1.9,HNK Orijent 1919 Kustosija,2.0,3.25,3.55,1.8,2.5,1.91,Orijent  Kustosija,79,122,Orijent  Kustosija,2.15,2.85,3.1,1.73,2.5,1.90
5,2.15,3.35,3.1,1.77,2.5,1.93,Lanus 2 Talleres 2,2.2,3.3,3.0,1.79,2.5,1.91,Talleres RE  Acassuso,63,36,Talleres RE  Acassuso,2.65,2.90,2.75,1.45,2.5,2.45
6,1.47,4.4,6.4,1.97,2.5,1.75,Novi Pazar Mladost Lucani,1.48,4.45,6.6,2.07,2.5,1.73,Novi Pazar  Mladost L.,89,17,Novi Pazar  Mladost L.,1.48,4.00,6.3,2.00,2.5,1.70
7,1.8,3.7,3.9,1.88,2.5,1.82,Pribram Sigma Olomouc B,1.79,3.55,4.0,1.88,2.5,1.82,Pribram  Sigma O. II,78,6,Pribram  Sigma O. II,2.0,1.90,3.8,4.60,2.5,2.10
8,1.8,3.7,3.9,1.88,2.5,1.82,Pribram Sigma Olomouc B,1.79,3.55,4.0,1.88,2.5,1.82,Pribram  Sigma O. II,78,128,Pribram  Sigma O. II,1.78,3.45,4.15,1.95,2.5,1.75
9,1.27,5.6,10.5,2.35,2.5,1.53,TPS KPV,1.23,5.6,11.0,2.45,2.5,1.5,TPS  KPV Kokkola,64,173,TPS  KPV Kokkola,1.22,6.00,12.0,2.50,2.5,1.48
10,3.35,3.0,2.2,1.6,2.5,2.2,Ararat Yerevan Urartu,3.1,3.1,2.3,1.59,2.5,2.22,Ararat Y.  Urartu,83,40,Ararat Y.  Urartu,3.0,2.85,2.35,1.55,2.5,2.20
11,1.95,3.05,4.0,1.4,2.5,2.7,Arba El Bayadh,2.08,2.7,4.5,1.32,2.5,3.1,Arba RC  El Bayadh,90,19,Arba RC  El Bayadh,1.98,2.90,4.15,1.33,2.5,3.00
12,1.25,4.5,11.3,1.75,2.5,1.97,MO Constantine Skikda,1.27,4.75,11.0,1.72,2.5,1.99,MO Constantine  Skikda,100,25,MO Constantine  Skikda,1.26,4.40,11.0,1.70,2.5,1.95
13,1.45,3.65,7.2,1.57,2.5,2.25,Temouchent RC Kouba,1.48,3.8,6.7,1.57,2.5,2.25,Temouchent  RC Kouba,100,27,Temouchent  RC Kouba,1.45,3.65,6.6,1.55,2.5,2.20
14,1.4,3.5,9.4,1.45,2.5,2.55,ASM Oran Saida,1.45,3.5,8.75,1.39,2.5,2.75,ASM Oran  Saida,100,22,ASM Oran  Saida,1.42,3.35,8.75,1.35,2.5,2.70
15,2.05,2.9,3.6,1.6,2.5,2.2,Mostaganem WA Boufarik,2.03,3.25,3.45,1.6,2.5,2.18,Mostaganem  Widad Adabi de B.,65,26,Mostaganem  Widad Adabi de B.,2.05,2.95,3.55,1.55,2.5,2.15
16,1.3,4.35,8.9,1.85,2.5,1.85,Hussein Dey RC Relizane,1.28,4.85,10.0,1.84,2.5,1.86,Hussein Dey  Relizane,93,24,Hussein Dey  Relizane,1.3,4.05,8.25,1.78,2.5,1.85
17,2.4,3.5,2.6,2.25,2.5,1.55,Dornbirn Austria Viennna 2,2.38,3.7,2.7,2.38,2.5,1.52,Dornbirn  Austria V. II,77,47,Dornbirn  Austria V. II,2.35,3.50,2.65,2.38,2.5,1.53
18,1.4,4.6,6.75,2.35,2.5,1.52,First Vienna Kapfenberg,1.46,4.65,6.3,2.5,2.5,1.48,First Vienna  Kapfenberg,100,48,First Vienna  Kapfenberg,1.42,4.60,5.75,2.45,2.5,1.50
19,3.05,3.45,2.15,2.07,2.5,1.67,Vorwarts Steyr Horn,3.1,3.5,2.2,2.1,2.5,1.67,Vorwarts S.  Horn,88,49,Vorwarts S.  Horn,2.95,3.30,2.25,2.10,2.5,1.65
20,2.0,3.4,3.7,1.67,2.5,2.08,Botev Plovdiv Slavia Sofia,1.99,3.35,3.7,1.68,2.5,2.08,Botev P.  Slavia Sofia,87,96,Botev P.  Slavia Sofia,1.98,3.20,3.75,1.65,2.5,2.10
21,2.8,3.5,2.4,2.05,2.5,1.7,Hvidovre IF Vejle,2.7,3.35,2.5,1.94,2.5,1.79,Hvidovre  Vejle,90,134,Hvidovre  Vejle,2.65,3.20,2.45,1.93,2.5,1.73
22,1.8,3.35,4.3,1.75,2.5,1.97,Opava Mas Taborsko,1.86,3.35,3.9,1.71,2.5,2.02,Opava  Taborsko,88,129,Opava  Taborsko,1.8,3.30,4.25,1.73,2.5,1.98
23,1.95,3.45,3.55,1.85,2.5,1.85,Varazdin Istra 1961,1.92,3.45,4.0,1.81,2.5,1.97,Varazdin  Istra 1961,100,120,Varazdin  Istra 1961,2.0,3.20,3.6,1.75,2.5,1.95
24,1.45,3.9,6.35,1.85,2.5,1.85,Ethnikos Achnas Othellos Athienou,1.52,3.6,5.6,1.83,2.5,1.85,Ethn.Achnas  Othellos A.,73,124,Ethn.Achnas  Othellos A.,1.5,3.50,5.5,1.80,2.5,1.80
25,1.8,3.35,3.9,1.65,2.5,2.08,Als Omonia Omonia Aradippou,1.91,3.2,3.65,1.6,2.5,2.18,Omonia 29.May  Om.Aradippou,75,125,Omonia 29.May  Om.Aradippou,1.93,3.00,3.55,1.55,2.5,2.15
26,2.15,3.55,3.2,1.97,2.5,1.75,Aalborg Odense,2.3,3.5,3.05,2.02,2.5,1.78,Aalborg  Odense,100,132,Aalborg  Odense,2.25,3.55,3.0,2.00,2.5,1.78
