,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm,teams_matched2,score,Unnamed: 0,teams,1_star,X_star,2_star,under_star,goals_star,over_star
0,1.45,4.6,5.75,2.6,2.5,1.45,Bayern Munich 2 Greuther Furth 2,1.39,4.8,6.2,2.55,2.5,1.45,Bayern Münchenn II  Greuther Fürth II,76,289,Bayern Münchenn II  Greuther Fürth II,1.40,4.45,6.25,2.35,2.5,1.51
1,1.85,3.85,3.5,2.2,2.5,1.6,Vilzing Rain Lech,1.91,3.4,3.7,2.12,2.5,1.64,DJK Vilzing  Rain am Lech,83,290,DJK Vilzing  Rain am Lech,1.80,3.70,3.7,2.2,2.5,1.57
2,1.95,3.05,4.0,1.4,2.5,2.7,Arba El Bayadh,2.08,2.7,4.5,1.32,2.5,3.1,RC Arbaa  El Bayadh,88,575,RC Arbaa  El Bayadh,1.99,2.90,4.0,1.34,2.5,2.95
3,1.25,4.5,11.3,1.75,2.5,1.97,MO Constantine Skikda,1.27,4.75,11.0,1.72,2.5,1.99,MO Constantine  Skikda,100,580,MO Constantine  Skikda,1.23,4.45,10.5,,2.5,3.60
4,1.45,3.65,7.2,1.57,2.5,2.25,Temouchent RC Kouba,1.48,3.8,6.7,1.57,2.5,2.25,Temouchent  RC Kouba,100,579,Temouchent  RC Kouba,1.45,3.65,7.0,0.25,2.5,4.45
5,1.4,3.5,9.4,1.45,2.5,2.55,ASM Oran Saida,1.45,3.5,8.75,1.39,2.5,2.75,ASM Oran  MC Saida,90,578,ASM Oran  MC Saida,1.38,3.65,9.0,,2.5,5.05
6,2.05,2.9,3.6,1.6,2.5,2.2,Mostaganem WA Boufarik,2.03,3.25,3.45,1.6,2.5,2.18,Mostaganem  WA Boufarik,100,581,Mostaganem  WA Boufarik,1.96,3.25,3.6,0.13,2.5,3.95
7,1.3,4.35,8.9,1.85,2.5,1.85,Hussein Dey RC Relizane,1.28,4.85,10.0,1.84,2.5,1.86,Hussein Dey  Relizane,93,582,Hussein Dey  Relizane,1.30,4.50,8.5,,2.5,3.00
8,2.45,3.45,2.55,2.05,2.5,1.68,Lippstadt Ahlen,2.5,3.35,2.55,2.1,2.5,1.66,Lippstadt 08  Ahlen,91,309,Lippstadt 08  Ahlen,2.35,3.50,2.6,2.15,2.5,1.60
9,2.4,3.5,2.6,2.25,2.5,1.55,Dornbirn Austria Viennna 2,2.38,3.7,2.7,2.38,2.5,1.52,Dornbirn  Austria W. II,77,493,Dornbirn  Austria W. II,2.20,3.60,2.8,2.3,2.5,1.54
10,1.4,4.6,6.75,2.35,2.5,1.52,First Vienna Kapfenberg,1.46,4.65,6.3,2.5,2.5,1.48,First Vienna  Kapfenberg,100,491,First Vienna  Kapfenberg,1.42,4.50,6.25,2.4,2.5,1.50
11,3.05,3.45,2.15,2.07,2.5,1.67,Vorwarts Steyr Horn,3.1,3.5,2.2,2.1,2.5,1.67,Vorwarts Steyr  Horn,100,492,Vorwarts Steyr  Horn,3.25,3.45,2.08,2.08,2.5,1.70
12,3.4,3.7,2.1,2.33,2.5,1.6,Hannover Hamburger,3.3,3.75,2.08,2.3,2.5,1.6,Hannover  Hamburger,100,269,Hannover  Hamburger,3.40,3.70,2.03,2.35,2.5,1.60
13,2.3,3.95,2.85,2.65,2.5,1.5,Paderborn Darmstadt,2.25,3.7,2.95,2.62,2.5,1.48,Paderborn 07  Darmstadt,93,268,Paderborn 07  Darmstadt,2.17,3.70,2.95,2.55,2.5,1.52
14,1.45,4.7,5.65,2.55,2.5,1.45,Unterhaching SpVgg Ansbach 09,1.43,4.7,5.6,2.65,2.5,1.42,Unterhaching  SpVgg Ansbach,95,298,Unterhaching  SpVgg Ansbach,1.42,4.50,5.9,2.55,2.5,1.44
15,1.75,3.75,4.05,2.15,2.5,1.62,Kickers Offenbach Barockstadt Fulda Lehnerz,1.7,3.75,4.25,2.18,2.5,1.6,Kickers Offenbach  Fulda-Lehnerz,84,329,Kickers Offenbach  Fulda-Lehnerz,1.71,3.70,4.15,2.14,2.5,1.61
16,1.62,4.05,4.5,2.25,2.5,1.58,Steinbach Haiger Aalen,1.65,4.05,4.2,2.35,2.5,1.53,Steinbach Haiger  Aalen,100,330,Steinbach Haiger  Aalen,1.64,3.85,4.4,2.25,2.5,1.55
17,2.0,3.55,3.25,2.05,2.5,1.7,Eintracht Trier Rot Weiss Koblenz,1.94,3.4,3.55,1.99,2.5,1.72,Eintracht Trier  TuS RW Koblenz,86,328,Eintracht Trier  TuS RW Koblenz,2.00,3.45,3.25,1.99,2.5,1.70
18,1.6,3.9,5.05,1.93,2.5,1.77,Ulm Balingen,1.56,3.8,5.4,1.95,2.5,1.76,Ulm  TSG Balingen,86,331,Ulm  TSG Balingen,1.57,3.75,5.15,1.93,2.5,1.75
19,3.1,3.55,2.1,1.97,2.5,1.75,BSV Rehden Drochtersen Assel,3.2,3.55,2.02,2.07,2.5,1.67,Schwarz-Weis Rehden  Drochtersen/Assel,74,300,Schwarz-Weis Rehden  Drochtersen/Assel,2.95,3.50,2.08,2.02,2.5,1.66
20,2.2,3.4,2.95,2.1,2.5,1.65,Lokomotive Leipzig Erfurt,2.28,3.3,2.85,2.15,2.5,1.63,Lokomotive Leipzig  RW Erfurt,94,320,Lokomotive Leipzig  RW Erfurt,2.13,3.50,2.95,2.14,2.5,1.61
