,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,1_star,X_star,2_star,under_star,goals_star,over_star,teams_matched2,score,Unnamed: 0,teams,1_max,X_max,2_max,under_max,goals_max,over_max
0,1.75,3.0,4.9,1.45,2.5,2.55,Le Mans  Avranches,1.64,3.75,4.75,2.04,2.5,1.69,Le Mans  Avranches,100,202,Le Mans  Avranches,1.68,3.95,4.85,2.12,2.5,1.73
1,1.47,4.4,6.4,1.97,2.5,1.75,Mirandes  Las Palmas,3.35,3.15,2.17,1.69,2.5,2.09,Le Mans  Avranches,61,202,Le Mans  Avranches,1.68,3.95,4.85,2.12,2.5,1.73
2,1.95,3.05,4.0,1.4,2.5,2.7,RC Arbaa  El Bayadh,1.99,2.9,4.0,1.34,2.5,2.95,Arba RC  El Bayadh,97,19,Arba RC  El Bayadh,1.98,2.90,4.15,1.33,2.5,3.00
3,1.25,4.5,11.3,1.75,2.5,1.97,MO Constantine  Skikda,1.23,4.45,10.5,,2.5,3.60,MO Constantine  Skikda,100,25,MO Constantine  Skikda,1.26,4.40,11.0,1.70,2.5,1.95
4,1.45,3.65,7.2,1.57,2.5,2.25,Temouchent  RC Kouba,1.45,3.65,7.0,0.25,2.5,4.45,Temouchent  RC Kouba,100,27,Temouchent  RC Kouba,1.45,3.65,6.6,1.55,2.5,2.20
5,1.4,3.5,9.4,1.45,2.5,2.55,ASM Oran  MC Saida,1.38,3.65,9.0,,2.5,5.05,ASM Oran  Saida,90,22,ASM Oran  Saida,1.42,3.35,8.75,1.35,2.5,2.70
6,2.05,2.9,3.6,1.6,2.5,2.2,Mostaganem  WA Boufarik,1.96,3.25,3.6,0.13,2.5,3.95,Mostaganem  Widad Adabi de B.,65,26,Mostaganem  Widad Adabi de B.,2.05,2.95,3.55,1.55,2.5,2.15
7,1.3,4.35,8.9,1.85,2.5,1.85,Hussein Dey  Relizane,1.3,4.5,8.5,,2.5,3.00,Hussein Dey  Relizane,100,24,Hussein Dey  Relizane,1.3,4.05,8.25,1.78,2.5,1.85
8,2.4,3.5,2.6,2.25,2.5,1.55,Dornbirn  Austria W. II,2.2,3.6,2.8,2.3,2.5,1.54,Dornbirn  Austria V. II,95,47,Dornbirn  Austria V. II,2.35,3.50,2.65,2.38,2.5,1.53
9,1.4,4.6,6.75,2.35,2.5,1.52,First Vienna  Kapfenberg,1.42,4.5,6.25,2.4,2.5,1.50,First Vienna  Kapfenberg,100,48,First Vienna  Kapfenberg,1.42,4.60,5.75,2.45,2.5,1.50
10,3.05,3.45,2.15,2.07,2.5,1.67,Vorwarts Steyr  Horn,3.25,3.45,2.08,2.08,2.5,1.70,Vorwarts S.  Horn,88,49,Vorwarts S.  Horn,2.95,3.30,2.25,2.10,2.5,1.65
11,1.95,3.45,3.55,1.85,2.5,1.85,Biskra  Magra,1.76,3.15,4.75,1.42,2.5,2.60,Biskra  Magra,100,20,Biskra  Magra,1.8,3.05,4.8,1.40,2.5,2.75
12,2.15,3.55,3.2,1.97,2.5,1.75,Bourg Péronnas  Sedan,1.66,3.45,4.8,1.73,2.5,1.96,Bourg en Bresse  Sedan,70,200,Bourg en Bresse  Sedan,1.73,3.55,5.0,1.75,2.5,2.05
13,1.88,3.75,3.2,2.55,2.5,1.45,Wiener SK  Mauerwerk,1.71,3.85,3.5,2.45,2.5,1.43,Wiener S.  Mauerwerk FC,90,61,Wiener S.  Mauerwerk FC,1.93,3.60,3.15,2.50,2.5,1.42
14,2.7,3.3,2.3,1.97,2.5,1.75,Traiskirchen  ASK Elektra,2.75,3.3,2.25,1.94,2.5,1.71,Traiskirchen  TWL Elektra,83,60,Traiskirchen  TWL Elektra,2.75,3.05,2.4,1.88,2.5,1.78
15,11.1,5.9,1.18,2.85,2.5,1.37,Un. Vocklamarkt  WSC Herta Wels,9.75,5.8,1.2,5.0,2.5,1.38,Vocklamarkt  WSC Wels,82,57,Vocklamarkt  WSC Wels,15.0,7.70,1.1,2.95,2.5,1.31
16,2.2,3.75,2.6,2.75,2.5,1.4,Drassburg  Kremser SC,1.95,3.7,2.75,2.6,2.5,1.38,Drassburg  Kremser,92,59,Drassburg  Kremser,2.25,3.50,2.65,2.60,2.5,1.40
17,2.75,3.55,2.15,2.22,2.5,1.58,Weiz  Gleisdorf,2.65,3.55,2.22,2.23,2.5,1.53,SC Weiz  Gleisdorf,90,56,SC Weiz  Gleisdorf,2.5,3.35,2.4,2.25,2.5,1.53
18,1.9,3.9,3.1,2.85,2.5,1.37,Kalsdorf  Treibach Al.,1.91,3.9,2.9,2.85,2.5,1.32,Kalsdorf  Treibach,92,55,Kalsdorf  Treibach,1.88,3.85,3.15,3.00,2.5,1.30
19,1.95,3.15,3.9,1.6,2.5,2.18,Martigues  Paris 13 Atletico,1.95,3.15,3.75,1.59,2.5,2.16,Martigues  Paris 13 Atl.,90,204,Martigues  Paris 13 Atl.,2.1,3.15,3.8,1.68,2.5,2.20
20,2.3,3.3,2.85,1.97,2.5,1.75,Excelsior Virton  Club Brugge U23,2.22,3.45,3.0,2.01,2.5,1.75,Virton  Cl.Brugge KV U23,76,80,Virton  Cl.Brugge KV U23,2.3,3.20,2.95,1.98,2.5,1.75
21,2.05,3.6,3.15,2.05,2.5,1.7,Genk U23  Dender,1.95,3.5,3.6,2.08,2.5,1.70,Genk U23  FC Dender,91,79,Genk U23  FC Dender,2.0,3.40,3.35,2.10,2.5,1.65
