,Unnamed: 0_x,teams_x,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm,teams_matched,score,Unnamed: 0_y,teams_y,1_max,X_max,2_max,under_max,goals_max,over_max
0,9,Traiskirchen TWL Elektra,2.50,3.35,2.55,2.18,2.5,1.61,Traiskirchen  TWL Elektra,100,79,Traiskirchen  TWL Elektra,2.5,3.05,2.65,1.85,2.5,1.78
1,15,Wiener Sport Club Mauerwerk,1.92,3.80,3.25,2.55,2.5,1.46,Wiener S.  Mauerwerk FC,83,80,Wiener S.  Mauerwerk FC,1.93,3.60,3.15,2.50,2.5,1.42
2,16,Vocklamarkt WSC Wels,15.00,6.00,1.17,2.45,2.5,1.49,Vocklamarkt  WSC Wels,100,76,Vocklamarkt  WSC Wels,12.0,6.60,1.14,2.75,2.5,1.35
3,17,Yverdon Aarau,2.38,3.65,2.65,2.55,2.5,1.45,Yverdon  Aarau,100,3,Yverdon  Aarau,2.0,2.55,3.9,2.80,2.5,2.75
4,19,Den Bosch Heracles,4.95,4.05,1.64,2.28,2.5,1.57,Den Bosch  Heracles,100,5,Den Bosch  Heracles,2.0,5.20,4.3,1.73,2.5,2.40
5,21,Virton Club Brugge KV U23,2.00,3.55,3.45,1.91,2.5,1.81,Virton  Cl.Brugge KV U23,96,102,Virton  Cl.Brugge KV U23,2.3,3.15,2.95,1.90,2.5,1.80
6,22,Genk U23 Dender,2.00,3.50,3.50,2.1,2.5,1.66,Genk U23  FC Dender,91,101,Genk U23  FC Dender,1.98,3.40,3.45,2.10,2.5,1.65
7,26,Den Haag PSV 2,1.91,3.75,3.70,2.3,2.5,1.55,Den Haag  Jong PSV,77,6,Den Haag  Jong PSV,2.0,2.00,4.05,3.90,2.5,2.50
8,28,Almere City Roda,2.35,3.40,3.00,1.95,2.5,1.77,Almere City  Roda,100,4,Almere City  Roda,2.0,2.50,3.45,3.10,2.5,2.05
9,33,Neusiedl Wiener Viktoria,1.53,4.70,4.45,2.85,2.5,1.37,Neusiedl  Wiener Viktoria,100,81,Neusiedl  Wiener Viktoria,1.53,4.15,4.75,2.80,2.5,1.35
10,34,Wiener Neustadt Marchfeld,4.55,4.20,1.58,2.55,2.5,1.45,Wiener Neustadt  Marchfeld,100,82,Wiener Neustadt  Marchfeld,5.6,4.30,1.42,2.70,2.5,1.35
11,35,Biskra MC Magra,1.69,3.30,5.75,1.37,2.5,2.88,Biskra  Magra,89,36,Biskra  Magra,1.68,3.15,5.6,1.38,2.5,2.85
12,36,Zrinjski Sloboda Tuzla,1.16,6.20,19.00,2.04,2.5,1.7,Zrinjski  Sloboda T.,90,108,Zrinjski  Sloboda T.,1.16,5.80,19.0,2.05,2.5,1.70
13,46,Real San Joaquin Trasandino,2.50,3.20,2.62,1.76,2.5,1.95,Real S.Joaquin  Trasandino,96,129,Real S.Joaquin  Trasandino,2.4,3.10,2.7,1.73,2.5,1.93
14,52,Bayern Munich Bayer Leverkusen,1.40,5.75,7.00,3.65,2.5,1.31,Bayern M.  B.Leverkusen,82,18,Bayern M.  B.Leverkusen,1.38,5.45,7.0,3.45,2.5,1.31
15,53,St. Polten Amstetten,2.30,3.50,2.95,2.18,2.5,1.62,St.Polten  Amstetten,100,68,St.Polten  Amstetten,2.2,3.55,2.85,2.15,2.5,1.60
16,54,Deportivo Espanol Sportivo Italiano,2.18,2.80,3.75,1.36,2.5,2.9,Dep.Espanol  Sp.Italiano,79,53,Dep.Espanol  Sp.Italiano,1.98,2.80,4.0,1.38,2.5,2.80
17,61,Ind. Cauquenes Limache,3.50,3.20,2.03,1.77,2.5,1.94,Ind. Cauquenes  Limache,100,130,Ind. Cauquenes  Limache,3.15,3.05,2.15,1.78,2.5,1.85
18,66,Standard Liege RFC Seraing,1.69,3.90,4.95,2.02,2.5,1.77,Standard  Seraing,76,96,Standard  Seraing,1.6,4.10,5.25,2.00,2.5,1.78
19,74,Bohemians UC Dublin,1.54,4.20,5.75,2.08,2.5,1.72,Bohemians 1905  Plzen,62,151,Bohemians 1905  Plzen,3.45,3.40,2.12,1.88,2.5,1.90
20,85,Angers Marseille,4.70,3.70,1.85,2.07,2.5,1.8,Angers  Marseille,100,15,Angers  Marseille,4.5,3.65,1.8,2.00,2.5,1.80
21,89,Athletic Bilbao Almeria,1.42,5.10,8.25,2.12,2.5,1.75,Ath Bilbao  Almeria,88,28,Ath Bilbao  Almeria,1.4,4.75,8.0,2.10,2.5,1.75
22,91,Santa Cruz Tomayapo,1.71,3.70,4.45,2.0,2.5,1.73,Santa Cruz R.  Tomayapo,95,105,Santa Cruz R.  Tomayapo,1.73,3.60,4.2,1.95,2.5,1.70
23,95,Orsomarso Fortaleza,6.90,3.75,1.48,1.54,2.5,2.3,Orsomarso  Fortaleza,100,134,Orsomarso  Fortaleza,7.0,3.50,1.53,1.50,2.5,2.38
24,101,Sampaio Correa Gremio Porto Alegrense,2.70,3.10,2.70,1.55,2.5,2.3,Sampaio Correa  Gremio,72,114,Sampaio Correa  Gremio,2.65,3.05,2.6,1.55,2.5,2.30
25,102,Operario Vila Nova,2.50,2.75,3.25,1.34,2.5,3.05,Operario  Vila Nova,100,113,Operario  Vila Nova,2.45,2.70,3.15,1.35,2.5,2.95
26,103,CSA Guarani,2.28,2.85,3.55,1.38,2.5,2.85,CSA  Guarani C.,92,112,CSA  Guarani C.,2.25,2.80,3.45,1.40,2.5,2.75
