,Unnamed: 0_x,teams_x,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,score,Unnamed: 0_y,teams_y,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm
0,0, Dubai City Dibba Al Hisn,4.8,3.8,1.55,2.25,2.5,1.55,Dubai City Dibba Al Hisn,100,0,Dubai City Dibba Al Hisn,4.90,4.20,1.54,2.4,2.5,1.51
1,1, Orijent 1919 Kustosija,1.97,3.2,3.5,1.8,2.5,1.9,HNK Orijent 1919 Kustosija,92,2,HNK Orijent 1919 Kustosija,2.00,3.25,3.55,1.8,2.5,1.91
2,2,1 Bali Utd. Persikabo 1973,1.33,4.9,7.8,2.25,2.5,1.57,Bali United Persikabo 1973,90,1,Bali United Persikabo 1973,1.31,5.20,8.00,2.45,2.5,1.49
3,3, Nevezis K. Banga G. B,1.25,5.35,8.3,3.2,2.5,1.3,Nevezis Kedainiai Banga 2,73,3,Nevezis Kedainiai Banga 2,1.24,5.80,8.75,3.25,2.5,1.29
4,5,R Godoy Cruz (R) Banfield (R),3.15,3.2,2.2,1.67,2.5,2.07,Godoy Cruz 2 Banfield 2,79,7,Godoy Cruz 2 Banfield 2,3.00,3.10,2.30,1.62,2.5,2.15
5,6,R Lanus (R) Talleres C. (R),2.15,3.35,3.1,1.77,2.5,1.93,Lanus 2 Talleres 2,75,9,Lanus 2 Talleres 2,2.20,3.30,3.00,1.79,2.5,1.91
6,7,R Sarmiento (R) Central Cordoba (R),2.15,3.35,3.1,1.7,2.5,2.05,Sarmiento 2 Central Cordoba 2,83,15,Sarmiento 2 Central Cordoba 2,2.18,3.15,3.20,1.63,2.5,2.15
7,8, Cherno More Botev Vratsa,1.37,4.55,8.6,1.85,2.5,1.85,Cherno More Botev Vratsa,100,6,Cherno More Botev Vratsa,1.40,4.40,7.90,1.85,2.5,1.86
8,9, Kaisar Kyzylorda Kairat Almaty II,1.45,4.6,5.75,2.45,2.5,1.5,Kaisar Kyzylorda Kairat Almaty 2,92,8,Kaisar Kyzylorda Kairat Almaty 2,1.50,4.25,5.30,2.5,2.5,1.47
9,10, Super Nova Riga FC,23.0,8.4,1.08,2.95,2.5,1.35,SK Super Nova Riga,83,14,SK Super Nova Riga,40.00,10.00,1.06,3.0,2.5,1.34
10,11, Marijampole City Zalgiris B,1.65,4.0,4.0,2.8,2.5,1.38,Marijampole City Zalgiris 2,96,10,Marijampole City Zalgiris 2,1.63,4.05,4.40,3.0,2.5,1.33
11,12, Thaqafi Tulkarem Markez Balata,3.9,3.55,1.75,2.05,2.5,1.7,Thaqafi Tulkarem Merkaz,79,16,Thaqafi Tulkarem Merkaz,3.75,3.65,1.82,2.03,2.5,1.7
12,13, Olympique Beja Monastirienne,3.0,2.6,2.55,1.3,2.5,3.2,Olympique Beja Monastir,90,12,Olympique Beja Monastir,3.35,2.38,2.75,1.24,2.5,3.7
13,14, Rejiche AS Slimane,1.75,3.0,4.9,1.45,2.5,2.55,Avenir Rejiche AS Slimane,84,4,Avenir Rejiche AS Slimane,1.95,2.88,4.60,1.42,2.5,2.65
14,15, US Ben Guerdane EO Sidi Bouzid,1.55,3.4,6.0,1.45,2.5,2.55,Ben Guerdane Co Sidi Bouzid,91,5,Ben Guerdane Co Sidi Bouzid,1.68,2.95,6.80,1.34,2.5,3.0
15,16, Metalist 1925 Kolos K.,3.7,2.7,2.35,1.4,2.5,2.7,Metalist 1925 Kolos Kovalivka,76,11,Metalist 1925 Kolos Kovalivka,3.40,2.85,2.25,1.43,2.5,2.6
16,17, Dukla Praha V.Jihlava,2.0,3.4,3.45,1.95,2.5,1.75,Dukla Prague Jihlava,83,17,Dukla Prague Jihlava,2.05,3.25,3.40,1.82,2.5,1.88
17,18,Z Botswana W Namibia W,2.1,3.4,3.15,1.85,2.5,1.85,Honka W NJS W,51,43,Honka W NJS W,1.09,7.80,15.00,4.0,2.5,1.19
18,19, Dubai City Dibba Al Hisn,4.8,3.8,1.55,2.25,2.5,1.55,Dubai City Dibba Al Hisn,100,0,Dubai City Dibba Al Hisn,4.90,4.20,1.54,2.4,2.5,1.51
19,20, Orijent 1919 Kustosija,1.97,3.2,3.5,1.8,2.5,1.9,HNK Orijent 1919 Kustosija,92,2,HNK Orijent 1919 Kustosija,2.00,3.25,3.55,1.8,2.5,1.91
20,21,1 Bali Utd. Persikabo 1973,1.33,4.9,7.8,2.25,2.5,1.57,Bali United Persikabo 1973,90,1,Bali United Persikabo 1973,1.31,5.20,8.00,2.45,2.5,1.49
21,22, Nevezis K. Banga G. B,1.25,5.35,8.3,3.2,2.5,1.3,Nevezis Kedainiai Banga 2,73,3,Nevezis Kedainiai Banga 2,1.24,5.80,8.75,3.25,2.5,1.29
22,24,R Godoy Cruz (R) Banfield (R),3.15,3.2,2.2,1.67,2.5,2.07,Godoy Cruz 2 Banfield 2,79,7,Godoy Cruz 2 Banfield 2,3.00,3.10,2.30,1.62,2.5,2.15
23,25,R Lanus (R) Talleres C. (R),2.15,3.35,3.1,1.77,2.5,1.93,Lanus 2 Talleres 2,75,9,Lanus 2 Talleres 2,2.20,3.30,3.00,1.79,2.5,1.91
24,26,R Sarmiento (R) Central Cordoba (R),2.15,3.35,3.1,1.7,2.5,2.05,Sarmiento 2 Central Cordoba 2,83,15,Sarmiento 2 Central Cordoba 2,2.18,3.15,3.20,1.63,2.5,2.15
25,27, Al Ramtha Moghayer Al Sarhan,1.55,3.55,5.5,1.8,2.5,1.9,Al Ramtha Moghayer Al Sarhan,100,26,Al Ramtha Moghayer Al Sarhan,1.58,3.60,5.50,1.83,2.5,1.87
26,28, FAR Rabat Difaa El Jadida,1.4,4.05,8.1,1.6,2.5,2.18,FAR Rabat Difaa El Jadidi,96,29,FAR Rabat Difaa El Jadidi,1.41,4.10,8.50,1.6,2.5,2.2
27,29,B Bayern M. II Greuther Furth II,1.45,4.6,5.75,2.6,2.5,1.45,Bayern Munich 2 Greuther Furth 2,76,20,Bayern Munich 2 Greuther Furth 2,1.39,4.80,6.20,2.55,2.5,1.45
28,30,B DJK Vilzing Rain/Lech,1.85,3.85,3.5,2.2,2.5,1.6,Vilzing Rain Lech,85,24,Vilzing Rain Lech,1.91,3.40,3.70,2.12,2.5,1.64
29,31, Novi Pazar Mladost L.,1.47,4.4,6.4,1.97,2.5,1.75,Novi Pazar Mladost Lucani,89,22,Novi Pazar Mladost Lucani,1.48,4.45,6.60,2.07,2.5,1.73
30,32, Pribram Sigma O. B,1.8,3.7,3.9,1.88,2.5,1.82,Pribram Sigma Olomouc B,85,37,Pribram Sigma Olomouc B,1.79,3.55,4.00,1.88,2.5,1.82
31,33, TPS KPV,1.27,5.6,10.5,2.35,2.5,1.53,TPS KPV,100,40,TPS KPV,1.23,5.60,11.00,2.45,2.5,1.5
32,34, Ararat Yerevan Urartu,3.35,3.0,2.2,1.6,2.5,2.2,Ararat Yerevan Urartu,100,36,Ararat Yerevan Urartu,3.10,3.10,2.30,1.59,2.5,2.22
33,35,1 SOL USC Bassam,2.3,3.3,2.7,1.85,2.5,1.85,Sol FC Bassam,69,39,Sol FC Bassam,2.35,3.30,2.80,1.88,2.5,1.82
34,36, Ruzomberok Skalica,2.0,3.2,4.05,1.6,2.5,2.18,Ruzomberok Skalica,100,38,Ruzomberok Skalica,2.00,3.25,4.00,1.62,2.5,2.25
35,37, Teuta Vllaznia,3.0,3.05,2.25,1.53,2.5,2.35,KF Teuta Vllaznia Shkoder,72,41,KF Teuta Vllaznia Shkoder,3.20,3.05,2.35,1.57,2.5,2.28
36,38, Real du Faso Royal,2.55,2.85,2.75,1.45,2.5,2.55,Real Du Faso Royal FC,92,55,Real Du Faso Royal FC,2.65,2.80,2.75,1.43,2.5,2.5
37,39, RC Arba El Bayadh,1.95,3.05,4.0,1.4,2.5,2.7,Arba El Bayadh,90,27,Arba El Bayadh,2.08,2.70,4.50,1.32,2.5,3.1
38,40, MO Constantine JSM Skikda,1.25,4.5,11.3,1.75,2.5,1.97,MO Constantine Skikda,91,33,MO Constantine Skikda,1.27,4.75,11.00,1.72,2.5,1.99
39,41, ZR Temouchent RC Kouba,1.45,3.65,7.2,1.57,2.5,2.25,Temouchent RC Kouba,93,35,Temouchent RC Kouba,1.48,3.80,6.70,1.57,2.5,2.25
40,42, ASM Oran MC Saida,1.4,3.5,9.4,1.45,2.5,2.55,ASM Oran Saida,90,25,ASM Oran Saida,1.45,3.50,8.75,1.39,2.5,2.75
41,43, ES Mostaganem WA Boufarik,2.05,2.9,3.6,1.6,2.5,2.2,Mostaganem WA Boufarik,94,34,Mostaganem WA Boufarik,2.03,3.25,3.45,1.6,2.5,2.18
42,44, Hussein Dey RC Relizane,1.3,4.35,8.9,1.85,2.5,1.85,Hussein Dey RC Relizane,100,31,Hussein Dey RC Relizane,1.28,4.85,10.00,1.84,2.5,1.86
43,45, USM Oujda RAC Casablanca,2.5,3.0,2.65,1.55,2.5,2.3,USM Oujda Racing Athletique Du Casablanca,74,56,USM Oujda Racing Athletique Du Casablanca,2.50,2.90,2.75,1.52,2.5,2.35
44,46,Z Lippstadt Ahlen,2.45,3.45,2.55,2.05,2.5,1.68,Lippstadt Ahlen,94,53,Lippstadt Ahlen,2.50,3.35,2.55,2.1,2.5,1.66
45,47, Al Quds Shabab Al Khaleel,3.2,3.35,2.0,1.9,2.5,1.8,Hilal Al Quds Shabab Al Khaleel,89,51,Hilal Al Quds Shabab Al Khaleel,3.30,3.40,2.03,1.89,2.5,1.81
46,48,1 Radomiak Radom Cracovia,2.3,3.3,3.25,1.58,2.5,2.4,Radomiak Radom Cracovia,96,45,Radomiak Radom Cracovia,2.30,3.10,3.30,1.59,2.5,2.3
47,49,2 LKS Lodz Zaglebie S.,2.1,3.45,3.4,1.8,2.5,1.9,LKS Lodz Zaglebie Sosnowiec,79,52,LKS Lodz Zaglebie Sosnowiec,2.15,3.25,3.30,1.84,2.5,1.87
48,50, Dornbirn Austria W. (A),2.4,3.5,2.6,2.25,2.5,1.55,Dornbirn Austria Viennna 2,78,57,Dornbirn Austria Viennna 2,2.38,3.70,2.70,2.38,2.5,1.52
49,51, First Wien SV Kapfenberg,1.4,4.6,6.75,2.35,2.5,1.52,First Vienna Kapfenberg,89,58,First Vienna Kapfenberg,1.46,4.65,6.30,2.5,2.5,1.48
50,52, Vorwarts Steyr SV Horn,3.05,3.45,2.15,2.07,2.5,1.67,Vorwarts Steyr Horn,93,59,Vorwarts Steyr Horn,3.10,3.50,2.20,2.1,2.5,1.67
51,53, Botev Plovdiv Slavia Sofia,2.0,3.4,3.7,1.67,2.5,2.08,Botev Plovdiv Slavia Sofia,100,60,Botev Plovdiv Slavia Sofia,1.99,3.35,3.70,1.68,2.5,2.08
52,54, Pisek Hostoun,1.92,3.6,3.2,2.2,2.5,1.6,Pisek Sokol Hostoun,81,65,Pisek Sokol Hostoun,1.95,3.65,3.10,2.45,2.5,1.47
53,55, Hvidovre Vejle,2.8,3.5,2.4,2.05,2.5,1.7,Hvidovre IF Vejle,90,63,Hvidovre IF Vejle,2.70,3.35,2.50,1.94,2.5,1.79
54,56, Hannover Hamburger SV,3.4,3.7,2.1,2.33,2.5,1.6,Hannover Hamburger,92,61,Hannover Hamburger,3.30,3.75,2.08,2.3,2.5,1.6
55,57, Paderborn Darmstadt,2.3,3.95,2.85,2.65,2.5,1.5,Paderborn Darmstadt,100,64,Paderborn Darmstadt,2.25,3.70,2.95,2.62,2.5,1.48
56,59, Opava MAS Taborsko,1.8,3.35,4.3,1.75,2.5,1.97,Opava Mas Taborsko,100,44,Opava Mas Taborsko,1.86,3.35,3.90,1.71,2.5,2.02
57,60,-Z Honka W NJS W,1.15,7.1,12.7,4.05,2.5,1.2,Honka W NJS W,93,43,Honka W NJS W,1.09,7.80,15.00,4.0,2.5,1.19
58,61, Varazdin Istra,1.95,3.45,3.55,1.85,2.5,1.85,Varazdin Istra 1961,85,46,Varazdin Istra 1961,1.92,3.45,4.00,1.81,2.5,1.97
59,62, Ethnikos Achna Othellos,1.45,3.9,6.35,1.85,2.5,1.85,Ethnikos Achnas Othellos Athienou,82,50,Ethnikos Achnas Othellos Athienou,1.52,3.60,5.60,1.83,2.5,1.85
60,63, Omonia 29M Omonia Aradippou,1.8,3.35,3.9,1.65,2.5,2.08,Als Omonia Omonia Aradippou,89,48,Als Omonia Omonia Aradippou,1.91,3.20,3.65,1.6,2.5,2.18
61,64, Dainava Atmosfera,1.52,4.4,4.45,3.1,2.5,1.32,Dainava Alytus Atmosfera Kedainiai,67,49,Dainava Alytus Atmosfera Kedainiai,1.45,4.90,5.00,3.5,2.5,1.26
62,65, USM Oujda RAC Casablanca,2.5,3.0,2.65,1.55,2.5,2.3,USM Oujda Racing Athletique Du Casablanca,74,56,USM Oujda Racing Athletique Du Casablanca,2.50,2.90,2.75,1.52,2.5,2.35
63,66,B Unterhaching Ansbach,1.45,4.7,5.65,2.55,2.5,1.45,Unterhaching SpVgg Ansbach 09,82,93,Unterhaching SpVgg Ansbach 09,1.43,4.70,5.60,2.65,2.5,1.42
64,67,JZ Offenbach Barockstadt Fulda-L.,1.75,3.75,4.05,2.15,2.5,1.62,Kickers Offenbach Barockstadt Fulda Lehnerz,80,86,Kickers Offenbach Barockstadt Fulda Lehnerz,1.70,3.75,4.25,2.18,2.5,1.6
65,68,JZ Steinbach Aalen,1.62,4.05,4.5,2.25,2.5,1.58,Steinbach Haiger Aalen,80,98,Steinbach Haiger Aalen,1.65,4.05,4.20,2.35,2.5,1.53
66,69,JZ Trier RW Koblenz,2.0,3.55,3.25,2.05,2.5,1.7,Eintracht Trier Rot Weiss Koblenz,62,95,Eintracht Trier Rot Weiss Koblenz,1.94,3.40,3.55,1.99,2.5,1.72
67,70,JZ Ulm 1846 Balingen,1.6,3.9,5.05,1.93,2.5,1.77,Ulm Balingen,75,92,Ulm Balingen,1.56,3.80,5.40,1.95,2.5,1.76
68,71,S BSV Rehden Drochtersen/Assel,3.1,3.55,2.1,1.97,2.5,1.75,BSV Rehden Drochtersen Assel,97,74,BSV Rehden Drochtersen Assel,3.20,3.55,2.02,2.07,2.5,1.67
69,73,SI Lok. Leipzig Erfurt,2.2,3.4,2.95,2.1,2.5,1.65,Lokomotive Leipzig Erfurt,83,97,Lokomotive Leipzig Erfurt,2.28,3.30,2.85,2.15,2.5,1.63
70,74,SI Viktoria Berlin BFC Dynamo,3.2,3.4,2.1,1.9,2.5,1.8,Viktoria Berlin BFC Dynamo,95,99,Viktoria Berlin BFC Dynamo,3.10,3.40,2.12,1.89,2.5,1.81
71,75,S Motala AIF IF Sylvia,2.0,3.6,3.05,2.3,2.5,1.55,Motala Sylvia,74,88,Motala Sylvia,1.94,3.75,3.25,2.6,2.5,1.44
72,76,JG FBK Balkan Rosengard,4.35,3.9,1.67,2.42,2.5,1.5,Balkan Rosengard,82,75,Balkan Rosengard,4.10,3.95,1.69,2.55,2.5,1.45
73,77,JG FK Karlskrona Asarums IF,1.72,3.8,3.75,2.43,2.5,1.5,Karlskrona Asarums,80,85,Karlskrona Asarums,1.72,3.90,4.00,2.5,2.5,1.47
74,78,JG Kristianstad Hassleholms IF,2.85,3.55,2.1,2.3,2.5,1.55,Kristianstads Hassleholms IF,93,87,Kristianstads Hassleholms IF,2.85,3.50,2.22,2.38,2.5,1.51
75,79,B Aschaffenburg Turkgucu Munchen,2.55,3.3,2.55,2.25,2.5,1.57,Aschaffenburg Turkgucu Munchen,97,71,Aschaffenburg Turkgucu Munchen,2.45,3.60,2.50,2.25,2.5,1.57
76,80,B Augsburg II Hankofen-Hailing,1.9,3.7,3.5,2.3,2.5,1.55,Augsburg 2 Hankofen Hailing,88,73,Augsburg 2 Hankofen Hailing,1.85,3.80,3.50,2.35,2.5,1.52
77,81,B Buchbach Pipinsried,2.75,3.15,2.45,1.7,2.5,2.02,Buchbach Pipinsried,95,76,Buchbach Pipinsried,2.80,3.15,2.40,1.67,2.5,2.07
