,Unnamed: 0_x,teams_x,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,score,Unnamed: 0_y,teams_y,1_max,X_max,2_max,under_max,goals_max,over_max
0,1, Orijent 1919 Kustosija,1.97,3.2,3.5,1.8,2.5,1.9,Orijent  Kustosija,87,122,Orijent  Kustosija,2.15,2.85,3.1,1.73,2.5,1.90
1,6,R Lanus (R) Talleres C. (R),2.15,3.35,3.1,1.77,2.5,1.93,Talleres RE  Acassuso,71,36,Talleres RE  Acassuso,2.65,2.90,2.75,1.45,2.5,2.45
2,7,R Sarmiento (R) Central Cordoba (R),2.15,3.35,3.1,1.7,2.5,2.05,Racing Club  Rosario Central,66,31,Racing Club  Rosario Central,1.75,3.45,5.1,1.73,2.5,2.10
3,8, Cherno More Botev Vratsa,1.37,4.55,8.6,1.85,2.5,1.85,Cherno More  Botev V.,88,95,Cherno More  Botev V.,1.42,4.10,7.3,1.85,2.5,1.85
4,17, Dukla Praha V.Jihlava,2.0,3.4,3.45,1.95,2.5,1.75,Dukla P.  Jihlava,83,127,Dukla P.  Jihlava,2.0,3.10,3.4,1.78,2.5,1.85
5,20, Orijent 1919 Kustosija,1.97,3.2,3.5,1.8,2.5,1.9,Orijent  Kustosija,87,122,Orijent  Kustosija,2.15,2.85,3.1,1.73,2.5,1.90
6,25,R Lanus (R) Talleres C. (R),2.15,3.35,3.1,1.77,2.5,1.93,Talleres RE  Acassuso,71,36,Talleres RE  Acassuso,2.65,2.90,2.75,1.45,2.5,2.45
7,26,R Sarmiento (R) Central Cordoba (R),2.15,3.35,3.1,1.7,2.5,2.05,Racing Club  Rosario Central,66,31,Racing Club  Rosario Central,1.75,3.45,5.1,1.73,2.5,2.10
8,31, Novi Pazar Mladost L.,1.47,4.4,6.4,1.97,2.5,1.75,Novi Pazar  Mladost L.,100,17,Novi Pazar  Mladost L.,1.48,4.00,6.3,2.00,2.5,1.70
9,32, Pribram Sigma O. B,1.8,3.7,3.9,1.88,2.5,1.82,Pribram  Sigma O. II,91,6,Pribram  Sigma O. II,2.0,1.90,3.8,4.60,2.5,2.10
10,32, Pribram Sigma O. B,1.8,3.7,3.9,1.88,2.5,1.82,Pribram  Sigma O. II,91,128,Pribram  Sigma O. II,1.78,3.45,4.15,1.95,2.5,1.75
11,33, TPS KPV,1.27,5.6,10.5,2.35,2.5,1.53,TPS  KPV Kokkola,64,173,TPS  KPV Kokkola,1.22,6.00,12.0,2.50,2.5,1.48
12,34, Ararat Yerevan Urartu,3.35,3.0,2.2,1.6,2.5,2.2,Ararat Y.  Urartu,83,40,Ararat Y.  Urartu,3.0,2.85,2.35,1.55,2.5,2.20
