,Unnamed: 0_x,teams_x,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,score,Unnamed: 0_y,teams_y,1_star,X_star,2_star,under_star,goals_star,over_star
0,8, Cherno More Botev Vratsa,1.37,4.55,8.6,1.85,2.5,1.85,Waasland-Beveren  Lierse,55,468,Waasland-Beveren  Lierse,2.14,3.60,2.9,2.35,2.5,1.54
1,10, Super Nova Riga FC,23.0,8.4,1.08,2.95,2.5,1.35,Mantova  Pro Sesto,51,401,Mantova  Pro Sesto,2.05,3.30,3.0,1.94,2.5,1.68
2,11, Marijampole City Zalgiris B,1.65,4.0,4.0,2.8,2.5,1.38,Salford City  Grimsby,51,118,Salford City  Grimsby,2.02,3.25,3.75,1.7,2.5,2.16
3,14, Rejiche AS Slimane,1.75,3.0,4.9,1.45,2.5,2.55,Le Mans  Avranches,57,248,Le Mans  Avranches,1.64,3.75,4.75,2.04,2.5,1.69
4,18,Z Botswana W Namibia W,2.1,3.4,3.15,1.85,2.5,1.85,Botswana (W)  Namibia (W),95,61,Botswana (W)  Namibia (W),1.88,3.25,3.45,1.76,2.5,1.84
5,28, FAR Rabat Difaa El Jadida,1.4,4.05,8.1,1.6,2.5,2.18,Virtus Francavilla  Fidelis Andria,52,424,Virtus Francavilla  Fidelis Andria,1.78,3.05,4.15,1.52,2.5,2.22
6,29,B Bayern M. II Greuther Furth II,1.45,4.6,5.75,2.6,2.5,1.45,Bayern Münchenn II  Greuther Fürth II,86,289,Bayern Münchenn II  Greuther Fürth II,1.40,4.45,6.25,2.35,2.5,1.51
7,30,B DJK Vilzing Rain/Lech,1.85,3.85,3.5,2.2,2.5,1.6,DJK Vilzing  Rain am Lech,94,290,DJK Vilzing  Rain am Lech,1.80,3.70,3.7,2.2,2.5,1.57
8,31, Novi Pazar Mladost L.,1.47,4.4,6.4,1.97,2.5,1.75,Mirandes  Las Palmas,51,187,Mirandes  Las Palmas,3.35,3.15,2.17,1.69,2.5,2.09
9,34, Ararat Yerevan Urartu,3.35,3.0,2.2,1.6,2.5,2.2,Yverdon  Aarau,53,523,Yverdon  Aarau,2.30,3.70,2.6,2.4,2.5,1.51
10,37, Teuta Vllaznia,3.0,3.05,2.25,1.53,2.5,2.35,Getafe  Valladolid,58,177,Getafe  Valladolid,2.35,3.00,3.4,1.56,2.5,2.50
11,39, RC Arba El Bayadh,1.95,3.05,4.0,1.4,2.5,2.7,RC Arbaa  El Bayadh,97,575,RC Arbaa  El Bayadh,1.99,2.90,4.0,1.34,2.5,2.95
12,40, MO Constantine JSM Skikda,1.25,4.5,11.3,1.75,2.5,1.97,MO Constantine  Skikda,91,580,MO Constantine  Skikda,1.23,4.45,10.5,,2.5,3.60
13,41, ZR Temouchent RC Kouba,1.45,3.65,7.2,1.57,2.5,2.25,Temouchent  RC Kouba,93,579,Temouchent  RC Kouba,1.45,3.65,7.0,0.25,2.5,4.45
14,42, ASM Oran MC Saida,1.4,3.5,9.4,1.45,2.5,2.55,ASM Oran  MC Saida,100,578,ASM Oran  MC Saida,1.38,3.65,9.0,,2.5,5.05
15,43, ES Mostaganem WA Boufarik,2.05,2.9,3.6,1.6,2.5,2.2,Mostaganem  WA Boufarik,94,581,Mostaganem  WA Boufarik,1.96,3.25,3.6,0.13,2.5,3.95
16,44, Hussein Dey RC Relizane,1.3,4.35,8.9,1.85,2.5,1.85,Hussein Dey  Relizane,93,582,Hussein Dey  Relizane,1.30,4.50,8.5,,2.5,3.00
17,46,Z Lippstadt Ahlen,2.45,3.45,2.55,2.05,2.5,1.68,Lippstadt 08  Ahlen,86,309,Lippstadt 08  Ahlen,2.35,3.50,2.6,2.15,2.5,1.60
18,50, Dornbirn Austria W. (A),2.4,3.5,2.6,2.25,2.5,1.55,Dornbirn  Austria W. II,88,493,Dornbirn  Austria W. II,2.20,3.60,2.8,2.3,2.5,1.54
19,51, First Wien SV Kapfenberg,1.4,4.6,6.75,2.35,2.5,1.52,First Vienna  Kapfenberg,89,491,First Vienna  Kapfenberg,1.42,4.50,6.25,2.4,2.5,1.50
20,52, Vorwarts Steyr SV Horn,3.05,3.45,2.15,2.07,2.5,1.67,Vorwarts Steyr  Horn,93,492,Vorwarts Steyr  Horn,3.25,3.45,2.08,2.08,2.5,1.70
21,54, Pisek Hostoun,1.92,3.6,3.2,2.2,2.5,1.6,Partick Thistle  Morton,51,557,Partick Thistle  Morton,1.64,3.75,5.2,1.78,2.5,2.05
22,56, Hannover Hamburger SV,3.4,3.7,2.1,2.33,2.5,1.6,Hannover  Hamburger,92,269,Hannover  Hamburger,3.40,3.70,2.03,2.35,2.5,1.60
23,57, Paderborn Darmstadt,2.3,3.95,2.85,2.65,2.5,1.5,Paderborn 07  Darmstadt,93,268,Paderborn 07  Darmstadt,2.17,3.70,2.95,2.55,2.5,1.52
24,58,Z Como W Inter Milan W,23.0,8.2,1.08,2.85,2.5,1.37,Como (W)  Inter (W),78,427,Como (W)  Inter (W),23.0,8.75,1.05,89.0,2.5,-
