,Unnamed: 0_x,teams_x,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm,teams_matched,score,Unnamed: 0_y,teams_y,1_star,X_star,2_star,under_star,goals_star,over_star
0,20,Bayern Munich 2 Greuther Furth 2,1.39,4.80,6.20,2.55,2.5,1.45,Bayern Münchenn II  Greuther Fürth II,76,289,Bayern Münchenn II  Greuther Fürth II,1.40,4.45,6.25,2.35,2.5,1.51
1,24,Vilzing Rain Lech,1.91,3.40,3.70,2.12,2.5,1.64,DJK Vilzing  Rain am Lech,83,290,DJK Vilzing  Rain am Lech,1.80,3.70,3.7,2.2,2.5,1.57
2,25,ASM Oran Saida,1.45,3.50,8.75,1.39,2.5,2.75,ASM Oran  MC Saida,90,578,ASM Oran  MC Saida,1.38,3.65,9.0,,2.5,5.05
3,27,Arba El Bayadh,2.08,2.70,4.50,1.32,2.5,3.1,RC Arbaa  El Bayadh,88,575,RC Arbaa  El Bayadh,1.99,2.90,4.0,1.34,2.5,2.95
4,28,Ben Aknoun MCB Oued Sly,2.12,3.10,3.40,1.55,2.5,2.3,Ben Aknoun  Oued Sly,90,583,Ben Aknoun  Oued Sly,1.99,2.95,3.55,0.24,2.5,4.25
5,31,Hussein Dey RC Relizane,1.28,4.85,10.00,1.84,2.5,1.86,Hussein Dey  Relizane,93,582,Hussein Dey  Relizane,1.30,4.50,8.5,,2.5,3.00
6,33,MO Constantine Skikda,1.27,4.75,11.00,1.72,2.5,1.99,MO Constantine  Skikda,100,580,MO Constantine  Skikda,1.23,4.45,10.5,,2.5,3.60
7,34,Mostaganem WA Boufarik,2.03,3.25,3.45,1.6,2.5,2.18,Mostaganem  WA Boufarik,100,581,Mostaganem  WA Boufarik,1.96,3.25,3.6,0.13,2.5,3.95
8,35,Temouchent RC Kouba,1.48,3.80,6.70,1.57,2.5,2.25,Temouchent  RC Kouba,100,579,Temouchent  RC Kouba,1.45,3.65,7.0,0.25,2.5,4.45
9,42,Genk U23 Dender,2.03,3.50,3.45,2.1,2.5,1.67,Genk U23  Dender,100,464,Genk U23  Dender,1.95,3.50,3.6,2.08,2.5,1.70
10,47,Virton Club Brugge KV U23,2.35,3.25,3.00,1.88,2.5,1.84,Excelsior Virton  Club Brugge U23,81,465,Excelsior Virton  Club Brugge U23,2.22,3.45,3.0,2.01,2.5,1.75
11,53,Lippstadt Ahlen,2.50,3.35,2.55,2.1,2.5,1.66,Lippstadt 08  Ahlen,91,309,Lippstadt 08  Ahlen,2.35,3.50,2.6,2.15,2.5,1.60
12,57,Dornbirn Austria Viennna 2,2.38,3.70,2.70,2.38,2.5,1.52,Dornbirn  Austria W. II,77,493,Dornbirn  Austria W. II,2.20,3.60,2.8,2.3,2.5,1.54
13,58,First Vienna Kapfenberg,1.46,4.65,6.30,2.5,2.5,1.48,First Vienna  Kapfenberg,100,491,First Vienna  Kapfenberg,1.42,4.50,6.25,2.4,2.5,1.50
14,59,Vorwarts Steyr Horn,3.10,3.50,2.20,2.1,2.5,1.67,Vorwarts Steyr  Horn,100,492,Vorwarts Steyr  Horn,3.25,3.45,2.08,2.08,2.5,1.70
15,61,Hannover Hamburger,3.30,3.75,2.08,2.3,2.5,1.6,Hannover  Hamburger,100,269,Hannover  Hamburger,3.40,3.70,2.03,2.35,2.5,1.60
16,64,Paderborn Darmstadt,2.25,3.70,2.95,2.62,2.5,1.48,Paderborn 07  Darmstadt,93,268,Paderborn 07  Darmstadt,2.17,3.70,2.95,2.55,2.5,1.52
17,70,ASV Drassburg Kremser,2.38,3.60,2.55,2.65,2.5,1.42,Drassburg  Kremser SC,83,509,Drassburg  Kremser SC,1.95,3.70,2.75,2.6,2.5,1.38
18,71,Aschaffenburg Turkgucu Munchen,2.45,3.60,2.50,2.25,2.5,1.57,V. Aschaffenburg  Turkgucu Munchen,97,292,V. Aschaffenburg  Turkgucu Munchen,2.35,3.55,2.55,2.25,2.5,1.54
19,72,Aue Meppen,2.20,3.30,3.20,1.92,2.5,1.8,Aue  Meppen,100,278,Aue  Meppen,2.00,3.50,3.4,1.96,2.5,1.79
