,Unnamed: 0_x,teams_x,1_star,X_star,2_star,under_star,goals_star,over_star,teams_matched,score,Unnamed: 0_y,teams_y,1_max,X_max,2_max,under_max,goals_max,over_max
0,24,Leipzig RB  Celtic,1.55,4.35,5.55,2.22,2.5,1.67,Lok.Leipzig  RW Erfurt,63,101,Lok.Leipzig  RW Erfurt,1.98,3.60,3.3,2.25,2.5,1.58
1,27,Chelsea  Milan,1.69,3.90,4.75,1.97,2.5,1.84,Le Mans  Avranches,60,84,Le Mans  Avranches,2.0,3.40,3.7,1.85,2.5,1.95
2,33,Malmo FF  Union Berlin,3.8,3.50,1.96,1.85,2.5,1.96,Viktoria Berlin  BFC Dynamo,64,102,Viktoria Berlin  BFC Dynamo,2.95,3.35,2.2,1.95,2.5,1.75
3,122,Athletic Bilbao  Almeria,1.42,4.50,8.25,2.1,2.5,1.78,Atletico La Paz  Alebrijes Oaxaca,62,137,Atletico La Paz  Alebrijes Oaxaca,2.55,2.95,2.8,1.55,2.5,2.30
4,126,Mallorca  Barcelona,8.5,4.75,1.38,2.35,2.5,1.65,Cobreloa  Magallanes,65,48,Cobreloa  Magallanes,2.2,3.00,3.3,1.50,2.5,2.45
5,157,Le Puy  Red Star 93,3.25,3.10,2.14,1.62,2.5,2.12,Le Puy  Red Star,91,85,Le Puy  Red Star,3.3,3.15,2.3,1.65,2.5,2.25
6,158,Martigues  Paris 13 Atletico,1.95,3.15,3.75,1.59,2.5,2.16,Martigues  Paris 13 Atl.,90,86,Martigues  Paris 13 Atl.,2.0,3.20,4.0,1.68,2.5,2.20
7,161,Bourg Péronnas  Sedan,1.65,3.55,4.8,1.78,2.5,1.89,Bourg en Bresse  Sedan,70,82,Bourg en Bresse  Sedan,1.73,3.60,4.85,1.85,2.5,1.95
8,162,Bastia-Borgo  Versailles,3.3,3.25,2.14,1.75,2.5,2.01,BastiaBorgo  Versailles,98,81,BastiaBorgo  Versailles,3.1,3.25,2.35,1.80,2.5,2.00
9,163,Le Mans  Avranches,1.86,3.45,3.9,1.85,2.5,1.86,Le Mans  Avranches,100,84,Le Mans  Avranches,2.0,3.40,3.7,1.85,2.5,1.95
