,teams,1_max,X_max,2_max,under_max,goals_max,over_max
0,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
1,H. Ironi Rishon  M.Nazareth,+2,2.40,3.30,3.50,2.5,1.68
2,H.Afula  M.Petah Tikva,+2,5.40,3.70,1.83,2.5,1.93
3,H.Umm alFahm  Agudat Sp.Ashdod,+2,2.40,3.20,3.65,2.5,1.75
4,MS Kfar Kasem  Bnei Yehuda,+2,2.65,3.25,3.10,2.5,1.65
5,Ramat Hasharon  Hapoel Akko,+2,2.50,3.05,3.55,2.5,1.63
6,Pribram  Sigma O. II,+2,1.90,3.80,4.60,2.5,2.10
7,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
8,Arsenal  Tottenham,2.15,3.50,3.40,2.12,2.5,1.73
9,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
10,Angers  Marseille,4.40,3.65,1.83,2.00,2.5,1.80
11,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
12,Bayern M.  B.Leverkusen,1.38,5.50,7.20,3.45,2.5,1.31
13,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
14,Ath Bilbao  Almeria,1.40,4.80,8.00,2.05,2.5,1.78
15,Cadiz  Villarreal,5.75,3.65,1.68,1.80,2.5,2.00
16,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
17,Novi Pazar  Mladost L.,1.48,4.00,6.30,2.00,2.5,1.70
18,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
19,Arba RC  El Bayadh,1.98,2.90,4.15,1.33,2.5,3.00
20,Biskra  Magra,1.80,3.05,4.80,1.40,2.5,2.75
21,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
22,ASM Oran  Saida,1.42,3.35,8.75,1.35,2.5,2.70
23,Ben Aknoun  Oued Sly,2.00,2.95,3.65,1.53,2.5,2.25
24,Hussein Dey  Relizane,1.30,4.05,8.25,1.78,2.5,1.85
25,MO Constantine  Skikda,1.26,4.40,11.0,1.70,2.5,1.95
