,teams,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc
0, Wiener SK Mauerwerk,1.88,3.75,3.20,2.55,2.5,1.45
1, Traiskirchen TWL Elektra,2.50,3.20,2.50,1.95,2.5,1.75
2, Vocklamarkt WSC Hertha,12.80,5.45,1.18,2.45,2.5,1.50
3, Bastia Borgo Versailles,3.90,3.30,1.90,1.70,2.5,2.03
4, Bourg en Bresse Sedan,1.75,3.55,4.35,1.75,2.5,1.98
5, Dunkerque Stade Briochin,1.90,3.20,4.00,1.60,2.5,2.18
6, Le Mans Avranches,1.60,4.00,4.90,2.05,2.5,1.70
7, Le Puy Red Star 93,3.95,3.10,1.95,1.60,2.5,2.18
8, Martigues Paris 13 Atletico,2.00,3.60,3.25,1.90,2.5,1.80
9, Nancy Cholet,1.80,3.50,4.10,1.80,2.5,1.90
10, Orleans Villefranche,2.70,3.00,2.60,1.60,2.5,2.17
11,Z VV Alkmaar W Excelsior W,1.80,4.10,3.50,2.85,2.5,1.37
12,Z Feyenoord W Telstar W,1.18,6.70,11.40,3.20,2.5,1.30
13,Z Zwolle W Fortuna Sittard W,4.20,4.20,1.65,2.60,2.5,1.45
14, Al Aqaba Al Sareeh,2.30,2.90,3.00,1.60,2.5,2.17
15,S Hannover II Hildesheim,1.70,3.90,4.20,2.20,2.5,1.60
16,Z Oberhausen Duren,1.85,3.80,3.55,2.20,2.5,1.60
17, Yverdon Aarau,2.45,3.65,2.50,2.43,2.5,1.50
18, Neusiedl 1919 Wiener Viktoria,1.60,4.30,4.05,2.95,2.5,1.35
19, W. Neustadt Marchfeld Donauauen,4.65,4.05,1.55,2.65,2.5,1.40
20, Wiener SK Mauerwerk,1.88,3.75,3.20,2.55,2.5,1.45
21, Traiskirchen TWL Elektra,2.50,3.20,2.50,1.95,2.5,1.75
22, Vocklamarkt WSC Hertha,12.80,5.45,1.18,2.45,2.5,1.50
23, Bastia Borgo Versailles,3.90,3.30,1.90,1.70,2.5,2.03
24, Zrinjski Sloboda Tuzla,1.20,5.60,14.10,1.95,2.5,1.75
25,21 Brighton U21 Tottenham U21,1.95,3.80,3.15,2.65,2.5,1.40
26,21 Fulham U21 Everton U21,1.90,3.80,3.40,2.43,2.5,1.50
27,21 Aston Villa U21 West Bromwich U21,2.20,3.70,2.60,2.75,2.5,1.40
28,21 Leeds U21 Stoke U21,1.25,5.65,7.40,3.55,2.5,1.25
29,21 Middlesbrough U21 Newcastle U21,1.75,4.00,3.50,2.95,2.5,1.35
30,21 Norwich U21 Derby U21,1.40,4.75,5.60,3.20,2.5,1.30
31, Almere City Roda,2.35,3.40,2.95,1.90,2.5,1.80
32, De Graafschap Jong AZ Alkmaar,1.58,4.35,5.05,2.32,2.5,1.55
33, Den Bosch Heracles,4.90,4.15,1.62,2.23,2.5,1.60
34, Den Haag Jong PSV,1.90,3.85,3.60,2.23,2.5,1.60
35, Eindhoven Dordrecht,1.48,4.35,6.30,2.23,2.5,1.60
36, Helmond FC Oss,2.00,3.55,3.60,1.85,2.5,1.85
37,1 Mezokovesd Paks,2.30,3.80,2.75,2.33,2.5,1.55
38,S Lubeck Atlas Delmenhorst,1.42,4.45,6.40,2.07,2.5,1.67
39, Uni. Craiova Voluntari,1.55,3.85,6.30,1.65,2.5,2.13
40, US Biskra NC Magra,1.75,3.15,5.00,1.40,2.5,2.75
41,-Z Charleroi W Zulte Waregem W,20.50,7.80,1.10,2.95,2.5,1.35
42, E. Virton Club Brugge B,2.20,3.30,3.05,1.95,2.5,1.75
43, Zwolle Jong Ajax,1.50,5.00,5.65,3.90,2.5,1.28
44, Sporting Gil Vicente,1.32,5.80,10.80,2.38,2.5,1.60
45, Alianza Atl. Universitario,2.60,3.20,2.75,1.65,2.5,2.13
46, Lausanne Wil,1.45,4.80,6.20,2.85,2.5,1.40
47, Thun Xamax,1.65,3.85,4.45,2.42,2.5,1.50
48, Dep. Espanol Sport. Italiano,1.95,2.85,4.10,1.40,2.5,2.70
