,teams,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm
0,Plaza Amador Arabe Unido,2.02,2.95,3.90,1.45,2.5,2.55
1,CD Atletico Marte CD FAS,3.20,3.20,2.20,1.77,2.5,1.95
2,California United Strikers FC AC Syracuse Pulse,1.72,3.50,4.45,1.74,2.5,1.98
3,Sacramento Republic Phoenix Rising,1.59,4.05,4.70,2.45,2.5,1.49
4,Dorados de Sinaloa Leones Negros,2.38,3.25,2.95,1.88,2.5,1.84
5,Saprissa Guanacasteca,1.25,5.70,11.00,2.65,2.5,1.43
6,Nanjing City Xinjiang Tianshan,1.24,5.45,10.00,2.60,2.5,1.44
7,Shenyang Urban FC Suzhou Dongwu,3.00,3.00,2.35,1.57,2.5,2.25
8,Shijiazhuang Gongfu Beijing Technology,1.06,9.75,25.00,3.90,2.5,1.21
9,Sichuan Jiuniu Nantong Zhiyun,3.85,3.15,1.96,1.64,2.5,2.12
10,Barito Putera Persik Kediri,2.03,3.35,3.50,1.95,2.5,1.77
11,Persis Solo PSM Makassar,2.75,2.90,2.65,1.65,2.5,2.12
12,Shanghai Port Chengdu Rongcheng,1.91,3.40,4.10,1.77,2.5,2.02
13,Kin SB,Shanghai Port,Chengdu Rongcheng,3+1,2.01,3.45,4.31
14,Diyarbekirspor Kars 36 Spor,1.45,4.20,7.10,2.03,2.5,1.71
15,Dodoma Jiji Geita Gold,3.50,2.75,2.28,1.35,2.5,2.95
16,Dalian Pro Shanghai Shenhua,2.55,3.40,2.65,1.92,2.5,1.86
17,Kin SB,Dalian Pro,Shanghai Shenhua,3+1,2.70,3.45,2.79
18,Wuhan Cangzhou,4.80,3.85,1.68,2.00,2.5,1.78
19,Kin SB,Wuhan,Cangzhou,3+1,4.99,3.91,1.78
20,Akhmat Grozny FK Rostov,2.40,3.20,2.90,1.82,2.5,1.90
21,Derince Spor Amasyaspor 1968 FK,1.58,3.85,5.60,1.89,2.5,1.83
22,Brasov Hermannstadt,4.90,3.20,1.74,1.54,2.5,2.30
23,CA River Plate 2 Argentinos Jrs 2,2.30,3.20,2.90,1.72,2.5,2.00
24,Rum SB,Brasov,Hermannstadt,3+1,5.15,3.25,1.86
25,Graficar Beograd Sloboda Uzice,1.33,4.35,9.00,2.00,2.5,1.71
26,Ruvu Shooting Coastal Union,2.22,3.15,3.10,1.82,2.5,1.88
27,Fcm Alexandria Csikszereda Miercurea Ciuc,5.60,4.20,1.48,2.30,2.5,1.54
28,PSS Sleman Persita Tangerang,1.74,3.25,5.10,1.76,2.5,1.96
29,Qizilqum Zarafshon Metallurg Bekabad,1.80,3.25,4.40,1.58,2.5,2.22
30,Aldosivi 2 CA Tigre 2,2.55,3.25,2.55,1.78,2.5,1.92
31,Atletico Tucuman 2 Patronato 2,1.76,3.45,4.30,1.90,2.5,1.80
32,Colon 2 Estudiantes 2,2.30,3.10,3.00,1.65,2.5,2.10
33,Macva Sabac Crvena zvezda,33.00,13.00,1.05,6.30,2.5,1.08
34,Maritsa Plovdiv Montana,2.55,3.20,2.60,1.72,2.5,1.99
35,Menemen Belediye Spor Bigaspor,1.22,6.40,10.00,3.45,2.5,1.27
36,Fakel Voronezh Krylya Sovetov Samara,3.10,3.30,2.25,1.94,2.5,1.78
37,AC Paradou U21 Us Khenchela U21,1.36,4.35,6.90,2.35,2.5,1.51
38,Hapoel Kfar Shalem Hapoel Bikat Hayarden,1.55,3.75,5.60,1.95,2.5,1.76
39,Fin SB,Honka,HJK Helsinki,3+1,2.86,3.25,2.78
40,Honka HJK Helsinki,2.70,3.20,2.62,1.71,2.5,2.10
41,RC Arba U21 MC El Bayadh U21,2.25,3.20,2.80,1.94,2.5,1.75
42,Sahab Shabab Al Ordon,2.35,2.95,3.05,1.59,2.5,2.22
43,US Biskra U21 NC Magra U21,2.22,3.05,2.95,1.90,2.5,1.79
44,Concordia Chiajna U. Cluj,3.70,3.00,2.05,1.50,2.5,2.40
45,Rum SB,Concordia Chiajna,U. Cluj,3+1,3.85,3.05,2.21
46,ASEC Mimosas SO Armee,1.36,4.70,7.00,2.60,2.5,1.44
47,Es Setif U21 CS Constantine U21,2.90,3.25,2.18,1.87,2.5,1.81
48,Hobro Fremad Amager,2.25,3.30,3.10,2.02,2.5,1.72
49,Dan SB,Hobro,Fremad Amager,3+1,2.42,3.35,3.26
50,Kvarnsveden Korsnas IF FK,1.99,3.75,3.10,2.70,2.5,1.40
51,Arda Kurdzhali Hebar Pazardzhik,1.49,4.00,6.70,1.73,2.5,2.00
52,Everton W Leicester City W,1.44,4.35,6.10,2.40,2.5,1.51
53,Maan Al Jazeera Club Amman,3.15,3.10,2.22,1.75,2.5,1.95
54,Spartak M. Zenit Petersburg,4.00,3.65,1.84,2.18,2.5,1.62
55,Grau Sport Boys Association,1.75,3.65,4.45,2.08,2.5,1.68
56,Sporting Cristal Asociacion Deportiva Tarma,1.36,4.45,9.00,1.95,2.5,1.77
57,Barracas Central Gimnasia L.P.,2.70,3.25,2.70,1.62,2.5,2.28
58,Viitorul Tg. Jiu Dinamo Bucuresti,2.75,3.00,2.55,1.68,2.5,2.05
59,Rum SB,Viitorul Tg. Jiu,Dinamo Bucuresti,3+1,2.89,3.05,2.70
60,Cobreloa Deportes Magallanes,2.04,3.20,3.65,1.55,2.5,2.30
61,FBC Melgar Binacional,1.44,4.05,7.90,1.77,2.5,1.95
62,Atletico Morelia Tepatitlan de Morelos,1.71,3.40,5.25,1.66,2.5,2.12
63,Tombense Novorizontino,2.62,2.85,2.95,1.43,2.5,2.65
64,Bra SB,Tombense,Novorizontino,3+1,2.78,2.89,3.10
65,AD Santos Zeledon,2.30,3.30,3.00,1.97,2.5,1.76
66,Tapatio Venados,2.30,3.05,3.25,1.56,2.5,2.30
67,Vasco da Gama Londrina,1.70,3.25,5.75,1.44,2.5,2.62
68,Bra SB,Vasco da Gama,Londrina,3+1,1.80,3.30,5.98
69,Santa Fe Atletico Nacional,2.65,3.15,2.65,1.67,2.5,2.10
70,Sporting San Jose San Carlos,2.18,3.35,3.20,1.99,2.5,1.74
71,Atletico La Paz Alebrijes De Oaxaca,2.65,3.05,2.75,1.56,2.5,2.30
72,Veres Rivne Rukh Lviv,2.50,3.25,2.60,1.89,2.5,1.81
73,Septemvri Sofia Spartak Varna,1.71,3.45,5.00,1.72,2.5,2.02
74,Cherno More Botev Vratsa,1.34,4.50,10.00,1.89,2.5,1.82
75,SK Super Nova Riga,25.00,9.00,1.09,2.70,2.5,1.41
76,Dukla Prague Jihlava,1.98,3.35,3.50,1.93,2.5,1.78
77,Bayern Munich 2 Greuther Furth 2,1.59,4.05,4.70,2.45,2.5,1.48
78,Vilzing Rain Lech,1.75,3.75,3.95,2.28,2.5,1.56
79,Pribram Sigma Olomouc B,1.73,3.50,4.45,1.91,2.5,1.79
80,Ruzomberok Skalica,1.99,3.40,3.80,1.78,2.5,2.00
81,TPS KPV,1.31,5.00,8.75,2.50,2.5,1.48
82,Genk U23 Dender,1.89,3.55,3.85,2.10,2.5,1.66
83,LKS Lodz Zaglebie Sosnowiec,2.40,3.05,3.00,1.74,2.5,1.99
84,Lippstadt Ahlen,2.45,3.50,2.55,2.05,2.5,1.68
85,Opava Mas Taborsko,1.79,3.35,4.25,1.82,2.5,1.88
86,Radomiak Radom Cracovia,2.45,3.10,3.15,1.61,2.5,2.28
87,Varazdin Istra 1961,2.02,3.45,3.60,1.90,2.5,1.87
88,Virton Club Brugge KV U23,2.30,3.35,3.00,2.04,2.5,1.71
89,Dornbirn Austria Viennna 2,2.45,3.65,2.65,2.38,2.5,1.52
90,First Vienna Kapfenberg,1.47,4.60,6.20,2.45,2.5,1.49
91,Vorwarts Steyr Horn,2.95,3.45,2.30,2.10,2.5,1.67
92,Hannover Hamburger,3.15,3.65,2.18,2.28,2.5,1.61
93,Hvidovre IF Vejle,2.75,3.35,2.45,2.04,2.5,1.70
94,Botev Plovdiv Slavia Sofia,1.96,3.35,3.85,1.66,2.5,2.10
95,Paderborn Darmstadt,2.35,3.80,2.75,2.70,2.5,1.45
96,Aalborg Odense,2.22,3.45,3.25,2.02,2.5,1.77
97,Aschaffenburg Turkgucu Munchen,2.35,3.35,2.70,2.22,2.5,1.59
98,Aue Meppen,2.15,3.30,3.25,1.94,2.5,1.78
99,Augsburg 2 Hankofen Hailing,2.15,3.70,2.80,2.28,2.5,1.56
100,BSV Rehden Drochtersen Assel,2.65,3.40,2.40,2.07,2.5,1.68
101,Buchbach Pipinsried,2.35,3.40,2.70,2.18,2.5,1.61
102,Burghausen TSV Aubstadt,2.45,3.45,2.55,2.25,2.5,1.57
103,Eintracht Trier Rot Weiss Koblenz,1.99,3.60,3.25,2.00,2.5,1.72
104,Heimstetten Wurzburger Kickers,7.25,5.50,1.30,2.88,2.5,1.36
105,Hertha BSC 2 Halberstadt,1.47,4.05,6.20,2.12,2.5,1.64
106,Illertissen Nurnberg 2,2.80,3.35,2.30,2.22,2.5,1.59
107,Lokomotive Leipzig Erfurt,1.69,3.80,4.25,2.25,2.5,1.57
108,Schweinfurt Eichstatt,1.51,4.15,5.30,2.35,2.5,1.52
109,Steinbach Haiger Aalen,1.70,3.75,4.25,2.20,2.5,1.60
110,Ulm Balingen,1.53,3.80,5.80,1.94,2.5,1.76
111,Unterhaching SpVgg Ansbach 09,1.46,4.35,5.70,2.50,2.5,1.47
112,Viktoria Berlin BFC Dynamo,3.15,3.50,2.05,2.05,2.5,1.68
113,Bastia Borgo Versailles,3.15,3.15,2.30,1.76,2.5,1.97
114,Bourg en Bresse Sedan,1.73,3.55,4.80,1.82,2.5,1.90
115,Dunkerque Stade Briochin,2.05,3.15,3.75,1.59,2.5,2.22
116,FC Martigues Paris 13 Atletico,2.02,3.20,3.85,1.64,2.5,2.15
117,Hannover 2 Hildesheim,2.18,3.25,3.05,2.15,2.5,1.62
118,Le Mans Avranches,1.99,3.35,3.75,1.82,2.5,1.90
119,Le Puy Red Star,3.15,3.05,2.35,1.66,2.5,2.12
120,Nancy Cholet,1.80,3.50,4.40,1.88,2.5,1.83
121,Oberhausen Duren,1.77,3.85,3.75,2.20,2.5,1.60
122,Orleans Villefranche,2.28,3.15,3.20,1.64,2.5,2.15
123,Yverdon Aarau,2.65,3.65,2.38,2.55,2.5,1.46
124,Almere City Roda,2.55,3.45,2.65,2.08,2.5,1.68
125,De Graafschap AZ Alkmaar 2,1.53,4.40,5.60,2.40,2.5,1.51
126,Den Bosch Heracles,4.70,4.05,1.67,2.25,2.5,1.58
