,teams,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc
0, Plaza Amador Arabe Unido,2.20,2.75,3.40,1.50,2.5,2.40
1, Atletico Marte FAS,2.95,3.25,2.15,1.77,2.5,1.93
2, Sacramento Republic Phoenix,1.60,3.70,5.25,2.42,2.5,1.50
3,SA California Utd. Syracuse Pulse,1.60,3.50,5.15,1.75,2.5,1.95
4,R Colon (R) Estudiantes (R),2.45,3.10,2.75,1.62,2.5,2.15
5,R Atl. Tucuman (R) Patronato (R),1.75,3.65,4.20,1.85,2.5,1.85
6, Macva Crvena zvezda,42.00,15.20,1.03,5.90,2.5,1.10
7, Menemen Bld. Biga,1.25,5.85,8.80,3.55,2.5,1.25
8, Fakel Krylia Sovetov,3.30,3.45,2.15,1.90,2.5,1.80
9, Honka HJK Helsinki,2.75,3.15,2.60,1.65,2.5,2.13
10, Sahab Shabab Al Ordun,2.45,3.00,2.70,1.60,2.5,2.17
11, Concordia Chiajna Uni. Cluj,3.50,3.05,2.10,1.50,2.5,2.37
12, Hobro Fremad Amager,2.10,3.45,3.15,1.97,2.5,1.75
13,-Z Bayern M. W Real Sociedad W,1.18,6.25,12.70,2.45,2.5,1.50
14,R River Plate (R) Argentinos Juniors (R),2.25,3.15,3.05,1.72,2.5,2.00
15,1 PSS Sleman Persita,1.55,3.45,5.60,1.80,2.5,1.90
16, Alexandria Csikszereda,5.40,4.30,1.50,2.30,2.5,1.55
17, Qizilqum Metallurg B.,1.80,3.10,4.75,1.53,2.5,2.35
18,R Aldosivi (R) Tigre (R),2.60,3.25,2.50,1.78,2.5,1.92
19, FBC Melgar Dep.Binacional,1.37,4.25,8.20,1.83,2.5,1.87
20, Atletico Grau Sport Boys As.,1.75,3.80,4.05,2.05,2.5,1.70
21, Sporting Cristal AD Tarma,1.30,4.55,10.30,1.90,2.5,1.80
22, Barracas Central Gimnasia LP,2.80,3.10,2.65,1.60,2.5,2.20
23, Viitorul Targu Jiu Dinamo Buc.,3.00,3.05,2.35,1.70,2.5,2.05
24, Cobreloa Magallanes,2.00,3.25,3.85,1.55,2.5,2.28
25, FBC Melgar Dep.Binacional,1.37,4.25,8.20,1.83,2.5,1.87
26, Atletico Grau Sport Boys As.,1.75,3.80,4.05,2.05,2.5,1.70
27, Sporting Cristal AD Tarma,1.30,4.55,10.30,1.90,2.5,1.80
28, Barracas Central Gimnasia LP,2.80,3.10,2.65,1.60,2.5,2.20
29, Viitorul Targu Jiu Dinamo Buc.,3.00,3.05,2.35,1.70,2.5,2.05
30, Cobreloa Magallanes,2.00,3.25,3.85,1.55,2.5,2.28
31, FBC Melgar Dep.Binacional,1.37,4.25,8.20,1.83,2.5,1.87
32, Atletico Grau Sport Boys As.,1.75,3.80,4.05,2.05,2.5,1.70
33, Sporting Cristal AD Tarma,1.30,4.55,10.30,1.90,2.5,1.80
34, Barracas Central Gimnasia LP,2.80,3.10,2.65,1.60,2.5,2.20
35, Viitorul Targu Jiu Dinamo Buc.,3.00,3.05,2.35,1.70,2.5,2.05
36, Cobreloa Magallanes,2.00,3.25,3.85,1.55,2.5,2.28
37, FBC Melgar Dep.Binacional,1.37,4.25,8.20,1.83,2.5,1.87
