,teams,1_betson,X_betson,2_betson,under_betson,goals_betson,over_betson
0,Deportes Iquique Barnechea,2.25,3.20,3.10,1.72,2.5,2.05
1,Atlanta Gimnasia de Mendoza,5.00,3.20,1.75,1.38,2.5,2.90
2,Santamarina Tandil Atlético Güemes,2.70,2.85,2.80,1.42,2.5,2.70
3,San Martín Tucuman Flandria,1.25,5.00,13.00,1.63,2.5,2.20
4,Tristán Suárez Temperley,2.35,3.00,3.10,1.50,2.5,2.50
5,Instituto Deportivo Madryn,1.30,4.50,11.00,1.75,2.5,2.00
6,Sacachispas Estudiantes Río Cuarto,6.00,3.30,1.63,1.47,2.5,2.55
7,Fernández Vial San Luis,2.15,3.20,3.30,1.62,2.5,2.20
8,Santiago Morning Deportes Copiapó,2.55,3.10,2.75,1.62,2.5,2.20
9,Fiorentina Lazio,2.45,3.50,2.90,1.98,2.5,1.85
10,Elche Mallorca,3.00,3.10,2.60,1.52,2.5,2.55
11,Nottingham Forest Aston Villa,3.50,3.45,2.18,1.81,2.5,2.06
12,Eibar Mirandés,1.50,4.00,6.50,1.85,2.5,1.90
13,Rosario Central Defensa y Justicia,2.35,3.00,3.30,1.47,2.5,2.60
14,Independiente Rivadavia Nueva Chicago,1.47,3.75,7.50,1.55,2.5,2.35
15,Sport Huancayo Deportivo Binacional,1.58,3.90,5.35,1.95,2.5,1.87
16,Audax Italiano Unión La Calera,2.35,3.30,3.00,1.75,2.5,2.05
17,Atlético-GO Palmeiras,5.00,3.75,1.68,1.83,2.5,2.00
18,Unión Magdalena Independiente Medellín,2.75,3.25,2.50,1.65,2.5,2.15
19,Estudiantes La Plata Lanús,2.15,3.20,3.60,1.66,2.5,2.20
20,Fénix Deportivo Maldonado,2.25,2.90,3.40,1.50,2.5,2.50
21,Patriotas Deportivo Pasto,2.50,3.10,2.85,1.65,2.5,2.15
22,Cerro Largo Rentistas,1.95,3.25,3.75,1.57,2.5,2.30
23,Guarani CRB,2.10,3.10,3.75,1.42,2.5,2.70
24,La Equidad Cortuluá,1.60,3.75,5.50,1.75,2.5,2.00
25,Sampaio Correa Chapecoense,2.10,3.20,3.60,1.55,2.5,2.35
26,Deportivo Pereira Envigado FC,1.85,3.40,4.33,1.57,2.5,2.30
27,Villarreal B Ponferradina,2.15,3.40,3.25,1.87,2.5,1.87
28,Andorra Burgos,2.25,3.00,3.40,1.52,2.5,2.45
29,Leganés CD Malaga,2.05,3.30,3.60,1.68,2.5,2.10
30,Alaves Albacete,1.95,3.50,3.75,1.72,2.5,2.05
31,Lugo Las Palmas,3.60,3.10,2.15,1.65,2.5,2.15
32,Oviedo Huesca,2.20,3.10,3.40,1.52,2.5,2.45
33,Racing B Zaragoza,2.75,2.95,2.70,1.52,2.5,2.45
34,Tenerife Cartagena,2.10,3.40,3.30,1.72,2.5,2.05
35,Aguilas Doradas Deportivo Cali,1.83,3.40,4.33,1.62,2.5,2.20
36,Defensor Sporting Danubio,2.15,3.10,3.40,1.53,2.5,2.40
37,América de Cali Jaguares de Cordoba,1.87,3.20,4.50,1.53,2.5,2.40
38,Mirandés Levante,3.25,3.25,2.20,1.68,2.5,2.10
39,UD Ibiza-Eivissa Eibar,2.70,3.30,2.50,1.75,2.5,2.00
40,Granada Sporting de Gijón,1.83,3.30,4.50,1.63,2.5,2.20
41,Deportes Tolima Alianza Petrolera,1.80,3.40,4.50,1.66,2.5,2.15
42,Atlético Junior Barranquilla Unión Magdalena,1.45,4.50,6.50,1.87,2.5,1.87
43,Operário PR Brusque,2.60,2.95,2.90,1.42,2.5,2.70
44,Once Caldas Atlético Nacional,2.75,3.10,2.55,1.72,2.5,2.05
