,teams,1_code,X_code,2_code,under_cod,goals_cod,over_cod
0,Talleres De Córdoba Godoy Cruz,1,"5,75","1,10",1,1,1
1,Boca Juniors Aldosivi,"1,37","4,40",9,"1,83",25,"1,95"
2,Patronato River Plate,"4,50","3,60","1,75",2,25,"1,80"
3,Csd San Martin Ca Atlas,1,"3,20","1,30",1,1,1
4,Cs Italiano Ca Ferrocarril Midland,0,"1,90","1,80",1,1,1
5,Sportivo Ac Las Parejas Boca Unidos,0,"2,70","1,80",1,1,1
6,Gimnasia Y Tiro Gimnasia Y Esgrima De Concepcion Del Uruguay,0,"1,09","6,25",1,1,1
7,Cd Argentino Monte Maiz Club Sportivo Estudiantes,2,18,"6,75",1,1,1
8,Ca Ferro Carril Oeste General Pico Club Villa Mitre,0,"1,60","2,90",1,1,1
9,Sportivo Penarol San Juan Club Ciudad De Bolívar,0,"2,80","2,60",1,1,1
10,Barcelona Celta,0,"1,12","6,75",1,1,1
11,Málaga Andorra Fc,0,"3,20","1,70",1,1,1
12,Aseev Go Jaragua Ec Go,1,"1,20","4,40",1,1,1
13,Adrc Icasa Guarany De Sobral,0,"1,25","4,10",1,1,1
14,Roma Lecce,1,"1,01","8,50",1,1,1
15,Atlante Cd Tapatio,"1,50","3,75",6,"1,65",25,"2,10"
16,Puebla Chivas Guadalajara,"2,55","2,95","2,55","1,75",25,"1,95"
